Cleaned_Dialogue,Song Recommendations
care venture guess,Dance Off (feat. Idris Elba & Anderson .Paak)
three excavation two analysis,Whatever It Takes
im sorry looking baby baby,Toxicity
wha wait wait wait minute none questions anything paleontology,Toxicity
youre right apologize scratch last question spell boscodictiasaur,I Bet My Life
starts silent,Painkiller
cant believe joey hate called liar,B.Y.O.B.
yes say hurt insulted tell somebody something,Symphony Of Destruction - Remastered 2012
ok whoahhey let stop right ok first lied right,B.Y.O.B.
sure didnt watch tape,New Rules
really doesnt anything coming maybe place bedroom,Bad Liar
ive come apologize think may let feelings charlie interfere interview process,Then We'll Talk
break charlie,Then We'll Talk
crazy,Immigrant Song - Remaster
ooh god,Beautiful Alien (feat. AI AM) - Radio Edit
got monica sold,Toxicity
well legend joey comes alive youre asleep,goosebumps
get legless witch,Symphony Of Destruction - Remastered 2012
shes miine,Hold
thats point chandler point lied,Symphony Of Destruction - Remastered 2012
oh god,goosebumps
lying wrong,Royals
exboyfriend insane,Don't Let The Light Go Out
didnt want know exboyfriend still love,The Hills
really ethical ask someone grant review voice underdog,Chop Suey!
dont believe lets go talk okay im telling didnt ask,Royals
oh im sorry ask one uhm spell mboscodictiosaur,Chop Suey!
damnit,Duality
dr geller charlie,Savage Love (Laxed - Siren Beat)
want tell everything deal tried make crazy questions wally cox thats voice underdog,Viva Las Vengeance
like tried tell interview ross grant based knowledge pretty useless trivia,Then We'll Talk
maybe,Painkiller
sweetie conversation starting make little uncomfortable,Middle Of A Breakup
ha ha ha third time week man get old,Paradise
youre mean,Duality
oh dont baby,Symphony Of Destruction - Remastered 2012
oh nothing it’s acting exercise i’m practising fakelaugh,Bleed
oh come man least let finish last one,Middle Of A Breakup
nono don’t hang one,Hey Look Ma
come it’s hypnosis tape woman work used twoweeks straight hasn’t smoked since,Can't Hold Us (feat. Ray Dalton)
pffhah,I Write Sins Not Tragedies
nothing it’s hypnosis beyond crap,B.Y.O.B.
right yknow forget hypnosis way quit smoking haveto dance naked field heather bath sweat six healthy young men,Immigrant Song - Remaster
father called thursday night,Toothbrush
oh yknow didn’t want cinnamon,B.Y.O.B.
oh god,Hail to the King
oh well yknow would’ve called lost phone number andthen ah mom locked house couldn’t find triedto find pay phone ah receiver cut,Bad Liar
ah oh ah vandalism,Toxicity
well got fight ‘cause ah said immature toget married,Toxicity
yknow would’ve bet good money he’d first oneof us get married,All We Know
yeah isn’t fantastic,Snow (Hey Oh)
exactly it’ll illegal drink bachelor party,New Rules
always illegal joe,B.Y.O.B.
well um ah mrs knight’s ah mean alice sorry alice ialways ah home ec class,Then We'll Talk
doesn’t keep kids school,Royals
yeah yknow wewe talked living together um want tohave kids right away,Can't Feel My Face
yknow mean really realise there’s age differencebetween us,Ain't No Rest for the Wicked
oh good okay ‘cause acting like didn’t,Young Dumb & Broke
falling fast asleep deeper deeper deeper nowcompletely asleep don’t need smoke cigarettes don’t control youare strong confident woman need smoke strong confident woman,Calm Down
yknow realised last year i’ve goneout two guys richard julio gotta help gotta set yougotta get back game,Thunder
haven’t covered topic,Bad Liar
aww reason want go blond wigand big boobs fact serve food,Bleed
mean really think,Smooth Criminal - 2012 Remaster
hoho,Fivio Foreign & Darkoo]
pheebs don’t tell soon he’s gonna married andthen you’re gonna hate,Sign of the Times
come guys nothing lose everything losedo want lose everything everything,Paranoid - 2012 - Remaster
nah doesn’t anything,All We Know
yknow forgot combination year ago justcarry around chap stick,Heaven and Hell - 2008 Remaster
joke customer work crush gave 20000tip number check i’d call,We Are Young (feat. Janelle Monáe)
guy invented moss 865 every office world uses thatprogram,Fivio Foreign & Darkoo]
incredibly offensive,Bleed
we’re saying don’t rush anything,Into the Unknown - Panic! At The Disco Version
don’t think know,Astronaut In The Ocean
look point there’s lot women haven’teven sex yet,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
okay isn’t sex better it’s one person youreally really care,Young Dumb & Broke
don’t anymore,Toxicity
ah slept someone else,Sign of the Times
okay wait right make things better,Chop Suey!
didn’t,Toxicity
whwhat like,Toxicity
don’t ask blew,Ain't No Rest for the Wicked
don’t know maybe can’t mean maybe there’ssomething wrong,Build God
oh god died,Cirice
absolutely okay first we’ll start little club soda andsalt doesn’t work go back to…,It's My Life
yknow forget it’s ruined,Middle Of A Breakup
oh nono never say can’t get cutaround stain add little lace make stylish throw,It's My Life
instead maybe could marry brother frank,Royals
miss monica geller,Titanium (feat. Sia)
seriously supposed mean,Build God
well y’know never know much tip,Toxicity
you’re supposed double tax double tax romania imean what’swhat’s deal trying buy wayyou get girls go,Toxicity
umm i’m still,New Rules
come gotta admit relationship ah hitting newlevel ‘cause used like chef customer nowwe’re like thisthis couple fights,Then We'll Talk
okay umm you’re loon,I Write Sins Not Tragedies
don’t know,Bad Liar
‘cause don’t want encourage kind behaviour,B.Y.O.B.
one meal that’s i’m asking please go eatand don’t good time give ten grand call even,Can't Feel My Face
okay whoa sorry like dark,Heaven and Hell - 2008 Remaster
oh well probably worst one since i’ve alive,Middle Of A Breakup
umm alice ah ah called,Build God
oh umm say,Toxicity
uh really young yknow don’tsee could sudden young ‘cause i’m older whenwe first got together,Chop Suey!
yeah yeah don’t don’t know yknow maybeit’s best,Don't Panic
yeah best like unbelievable pain,Duality
yknow finally happy yknow first time lifeafter dad left getting arrested stealing birds andthen whole punctured lung thing it’s still really hard takedeep breaths cold weather alice stuff kinda went away nowit’s it’s gone don’t know,Build God
umm well kinda little chat alice sort madeher see two shouldn’t together yknow you’re gonna see toone day really really,Schism
wait minute wait,Sugar
well wait mother didn’t want us together theworst thing ever tie porch,The Hills
wait yknow ii came thought you’dunderstand oh yknow would storm right ifif money ora place go…,Wrong
ohnononono…,Middle Of A Breakup
know great little place,Pumped Up Kicks
oh come it’s fair paid flight isthat enough lire,B.Y.O.B.
ahh i’d throw another thousand,Moves Like Jagger
hey frank look okay know think like totallyevil thing didn’t there’s someone explain betterthan,Bad Liar
cigarette’s don’t control strongconfident woman need smoke,It's My Life
what’s wrong,Build God
feelin’ wife sleeping gynaecologist,Somebody That I Used To Know
like go bowling know you’re somebody else’sshoes,LA Devotee
happening don’t know maybe it’s mywound,Then We'll Talk
it’sit’s heeled yet,Bad Liar
thomas gonna hard wanted come andnobody else,Somebody That I Used To Know
it’s i’ve sleeping wife,I Don’t Wanna Live Forever (Fifty Shades Darker)
come big news pete wanted tell mon orshould say mrs monica becker,Take on Me
nonono oh keep name don’t take name,Rolling in the Deep
didn’t ask marry,♾
ohh,Heaven and Hell - 2008 Remaster
wanted tell he’s gonna compete ultimate fightingcompetition thingy,Enemy (with JID) - from the series Arcane League of Legends
don’t know exactly it’sit’s sorta like wrestling,Toxicity
yeah without costumes,All We Know
it’s fake it’s totally brutal,You Just Haven't Thought of It Yet
like bite pull people’s hair stuff,Immigrant Song - Remaster
yeah anything goes except ah eye gouging fish hooking,Hall of Fame (feat. will.i.am)
what’s fish hooking,Cotton Eye Joe
oh it’s bing sir i’m sorry ah,Sugar
yeesh what’d,Toxicity
well didn’t anything didn’t want guy whohas problem boss slapping bottom,Paranoid - 2012 - Remaster
yknow don’t don’t understand guys mean ii wouldnever congratulate monica great stew yknow grabbin’ boob,Then We'll Talk
right chandler don’t give boss chance toget yknow ah don’t turn back,Royals
umm hey rach ask something,No Time for Caution
okay totally say umm would okay iset ross date,Into the Unknown - Panic! At The Disco Version
ohohoh one bonnie,Chop Suey!
remember birthday party two years ago she’s yeahlike average height medium build bald,Toxicity
iron steel let ask something come icall computer support line wait hour half,Sugar
told we’re adding new operators time could weconcentrate training,Astronaut In The Ocean
it’s hard know email,Bad Liar
hey umm listen umm friends telling little thisah ultimate fighting thing well sounds really dangerous ii don’t wantyou get hurt ‘cause kinda like,Sign of the Times
oh i’m sorry look lot different last time iisaw,Heaven and Hell - 2008 Remaster
yeah bald she’s,Toxicity
could tell hair,Chop Suey!
well i’m sorry thought said okay,Then We'll Talk
yeah said okay thought weird bald chicki mean yknow girl hair got,Toxicity
well maybe won’t work maybe ross won’t like herpersonality,Bleed
bad personality,Toxicity
i’m telling need smacks got kid startingdartmouth fall,Smooth Criminal - 2012 Remaster
god ross,Heaven and Hell - 2008 Remaster
yeah it’s ultimate fighting combo yeah saved thirty centsplus get keep cup yay,Temperature
opponent hunnington beach california he’s 300pound street fighter tank abbottttttt,Smooth Criminal - 2012 Remaster
well guy serious serious trouble,Heaven and Hell - 2008 Remaster
uhoh,goosebumps
would nice hearing 20000 people chant “you suck”,Hurricane
mean ii thought nuts first youyou nowyou look back thing regrets,Confidence
well i’m gonna stop i’m ultimate fightingchampion,Hotter Than Hell
guy stood neck passed,B.Y.O.B.
let tell story set create moss 865 thinkit happened overnight moss 1 burnt dad’s garagethere moss 2 would schedule appointments january 862 others ilearned like learned fight never let guy stand neck,Royals
didn’t know already,Bleed
oh one thing hoshi thinks ringside may haveaffected concentration,Bleed
yeah thatthat problem,Toxicity
oh five minutes right they’re interviewing hisopponent apparently trains going iran pulling arms thieves,Hall of Fame (feat. will.i.am)
ross umm go bonnie,Don't Panic
oh gotta tell ii wasn’t expecting like alli mean actually wasn’t expecting like anyone right she’s reallyterrific,The Middle
ohh that’s bad,Somebody That I Used To Know
ahh one next foot sorry,Schism
nine times okay put lotion it’s gonna beokay tomorrow i’m conducting experiment goes asplanned butt smack free,Moves Like Jagger
ah didn’t,Bad Liar
oh forgot,Bleed
ah didn’t instead ah hung acouple friends couple beers certainly don’t deserve praiseverbal otherwise,Bad Liar
hmm,Toxicity
i’m little bit uncomfortable way expressyourself,Psychosocial
oh swearing mean constant swearing igotta tell ya kiss ass,Symphony Of Destruction - Remastered 2012
itit’s swearing it’s ahthe way ah occasionally concentrate enthusiasm buttock,Bad Liar
okay would rather live shirt pocket sweaty giant orinside shower drain,Toxicity
oh really nothing,Bleed
said bald,Unsainted
whatwhatwhatwhatwhat,Bleed
phoebe can’t can’t let happen okay wehave something break okay go like shave herhead owe one bald girl,Needled 24 / 7
okay first breathe second don’t get itaren’t one decided didn’t want ross,Bad Liar
well isn’t friend don’t want happy,Sweet Child O' Mine
oh killed,Somebody That I Used To Know
it’s okay it’s bad looks it’s precautionah i’m supposed move spine,Paranoid - 2012 - Remaster
can’t i’m ultimate fighter i’mtelling day come children argue win fight orsuperman i’m saying could beat superman yknow kids stupid,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
sit right please listen terrible atthis okay worst ultimate fighter ever ever,B.Y.O.B.
yknow torn rotator cuff hairline fracture rightforearm severely bruised adam’s apple really hurt,I Bet My Life
well yknow care much watch hurtyourself like you’re gonna itwithout,I Bet My Life
well you’re asking quit you’re asking besomeone i’m i’ve got,Royals
that’sthat’s ridiculous,Bad Liar
everybody else got one want one don’t,The Hardest Part
pete becker circling ring looks like he’sjust trying feel oh bruiser,Smooth Criminal - 2012 Remaster
run run crazy rich freak,B.Y.O.B.
nooo,Demons
uhoh bruiser becker canvas going hisfavourite area,Trndsttr
wait that’s favourite area mean,Bleed
well ironic last two boyfriends richard didn’twant kids looks pete can’t,All We Know
nonono,Ain't No Rest for the Wicked
playing game learned work name allthe states six minutes,Smooth Criminal - 2012 Remaster
stupid game wasnt playing people sotechnically didnt lose,I Write Sins Not Tragedies
forgot fourteen states,Chop Suey!
oh thats bad pheebs,I Feel It Coming
oh got tired naming states decided list types ofcelery one regular celery,Pumped Up Kicks
say hello new champ chandlers dumb states game,ZT (3x3)
oh right sorry tags coming girlfriend came townso hes spending thanksgiving,Free Bird - Edit
oh didnt tell made individual sweet potatostuffed pumpkin,We Are Young (feat. Janelle Monáe)
done time atospare,Often
know hate lecture guys kinda disgraceful agroup welleducated adults joey cant name states ever see mapor one round colorful things called globe hmm,B.Y.O.B.
thats impossible,Chop Suey!
right im oven space im gonna turn joeys pleasewatch let joey eat food,Don't Threaten Me with a Good Time
look ross dont know never know themokay beauty game makes want kill,Ain't No Rest for the Wicked
thisthis crazy right uhh bet get 50before dinner,There's a Good Reason These Tables Are Numbered Honey
okay cant…no dinner,Friction
pshhshhh,Beautiful Alien (feat. AI AM) - Radio Edit
sure joey let ross look maps globein apartment,New Rules
hell,goosebumps
dont know maybe smells little weird likeold pumpkins something,Nearly Witches (Ever Since We Met...)
uhoh uhoh,goosebumps
im sorry whos,Toxicity
phoebe theres dog sitting couch,Beautiful Alien (feat. AI AM) - Radio Edit
tell im allergic sue,Monster
yes hes black white shaggy hes sitting next rachel licking rachels hand,Let Me Love You
ill right,Dance Off (feat. Idris Elba & Anderson .Paak)
uh wanted see offer spend thanksgiving stillgood,Don't Panic
kinda broke morning,Ain't No Rest for the Wicked
oh im sorry,Somebody That I Used To Know
huh dog,Toxicity
dog theretheres dog,Bleed
yeah dog left,Party Monster
phoebe hear dog barking,Needled 24 / 7
oooh wish could stay chandler allergic,Middle Of A Breakup
extremely allergic okay im anywhere near dog 5minutes throat close,Paranoid - 2012 - Remaster
thats odd cause dogs living past 3 days,Heaven and Hell - 2008 Remaster
chandler dogs long havent areaction maybe youre allergic dog,Astronaut In The Ocean
dont,Toxicity
crazy,Sugar
needy jumpy cant tell arethinking scares little bit,B.Y.O.B.
wait minute like dogs mean even puppies,Toxicity
dont like puppies,Bleed
look chandler told never tell anyone dog thing itslike ross likin’ ice cream,Royals
dont like ice cream,Kaer Morhen
okay dogs make little uncomfortable,Raining Blood
get im college professor got 1450 sats,The Pot
damn forgot,American Idiot
oh wait guys go ask question,Thunder
guy breaks girlfriend appropriate amountof time wait make move,Charlie Brown
oh id say month,Don't Panic
really id say 3 4,New Rules
assistant would say never,All We Know
right rach big question like right becauseif doesnt like moopoint,Orinoco Flow
huh moopoint,Toxicity
yeah like cows opinion doesnt matter moo,Lose Yourself
please dont listen joey okay would look hehe’sobviously depressed hes away family hes spending thanksgiving strangers needs right friend,Middle Of A Breakup
bad,Free Bird - Edit
yeah im sorry girlfriend,Somebody That I Used To Know
year kinda thought wed end together dont anymore,Don't Let The Light Go Out
broke,Build God
weird always used assume would meet someone fall inlove happy given lately like doyou ever feeling,Cirice
uh—it,Toxicity
answers dont,B.Y.O.B.
uh yeah well see he… joey knows imim insecureabout back and…youre hugging obviously repulsed ityeah,Don't Threaten Me with a Good Time
waitwait minute doesnt make sense,Build God
okay thats gonna take minute anything else youwanna get chest,I Dunno (feat. Dutchavelli & Stormzy)
know want sneak dog back chandler wouldnteven know,Lose Yourself
ive dog three days chandler idea hesnot smart,Animals
hey didnt know either,Toxicity
yeah kinda knew something going didnt,Heaven and Hell - 2008 Remaster
wash hands,Nightmare
hey look phoebe uh laid states geographically,Starboy
monicas crying shes upset whole clunkers thing,I Bet My Life
doesnt want see,Sign of the Times
sent away dog,Hurricane
monicas upset sent clunkers away,I Bet My Life
yeah hero could could could iwwwhat attacks,Sign of the Times
ross need help,Free Bird - Edit
hate america finish game swear moving,B.Y.O.B.
hey tags still talking police,Astronaut In The Ocean
oh nonononononono went ross bring dog back,Don't Threaten Me with a Good Time
clunkers oh god,Immigrant Song - Remaster
okay maybe hard arent 50 states let tellyou something 49 states,Chop Suey!
im okay gotta go police station look mug shots,I Dunno (feat. Dutchavelli & Stormzy)
look um think talk happened terrace,Cirice
ah ii never said said it—y’know itjust doesnt matter feel mean work together nothing could really everhappen us would love go work monday andand nevertalk okay,Then We'll Talk
um im,Kaer Morhen
oh god know freaked,Middle Of A Breakup
didnt thing freaked saying thatnothing could ever happen us,Middle Of A Breakup
okay well thats one less thing monday,Calm Down
probably monica chandler,Young Dumb & Broke
mia past seven sorority newsletterswhat’s,Toxicity
shut,B.Y.O.B.
oh shut friends ralph,Chop Suey!
oh tomorrow oh don’t know um…,Then We'll Talk
shut,Duality
oh that’sthat’s old card umm wanted get ofthat andand something really help people andand make difference,Painkiller
shut friend melissa college,Party Monster
wait minute isn’t… she’s one you…,Chop Suey!
weren’t nothing one night senior year wewent party,New Rules
sad mean like ten pins,All We Know
stop picturing,Chop Suey!
okay think that’s seating chart done ourwedding look like they’re fun don’t,I Feel It Coming
they’re invited oh that’s terrible they’regonna crushed,I Bet My Life
well i’m sorry thought parents coming y’know yourparents comin’ chandler’s parents comin’ ross’s parents arecomin’,Build God
oh please want blue pins,Royals
well sad,Ain't No Rest for the Wicked
right right maybe fit somerearranging uh rachel may actually sit bar,Whatever It Takes
problem,Lose Yourself
i’m monica’s maid honor okay don’t try blue pinme,American Idiot
oh nice wewe custommake tuxedos celebrities thenwhen they’re done send ‘em back,Lose Yourself
mean like award shows,Don't Panic
honey might suggest watching little,MONEY
bad,Calm Down
uhhuh,Kaer Morhen
joey hooked ross chandler tuxedos thewedding need one,Levitating
multicolored robes ooh maybe hat,Someone In The Crowd
huh monica know,Sugar
don’t think,Hall of Fame (feat. will.i.am)
oh y’know can’t dinner thatmelissa girl,Psychosocial
well want hear actually happened joey’s lewdversion,Attention
yeah senior year college sigma chi luau andmelissa got drunk ended kissing several minutes,Party Monster
i’m saying i’m lesbian i’m saying thatthis happened,Build God
i’m vanilla i’ve done lots crazy things mean igoti got drunk married vegas,Never Be the Same
freakish thin date hanger head,Toxicity
rachel hooked tux tux batman’stux,Bugzy Malone
so—if wear you’ll make mine less special,Young Dumb & Broke
got married slept sister,I Don’t Wanna Live Forever (Fifty Shades Darker)
somehow got idea invited methey…feel little unwanted,Then We'll Talk
oh that’s bad it’s true bad,Don't Panic
look mon could call mom…,New Rules
come look justjust tell—let know really want themto let’s forget woman sent many lasagnas overthe years,Into the Unknown - Panic! At The Disco Version
hasn’t,Bad Liar
fault didn’t make,Ain't No Rest for the Wicked
don’t know uh tell ‘em mixup theinvitations or—nonono blame post office,Monster
hmm phoebe ever sorority,Free Bird - Edit
course yeah uh umm thigh mega tampon,Nearly Witches (Ever Since We Met...)
yeah y’know really huge shut usdown regina philange died alcohol poisoning,Wake Me up When September Ends
remember we—come sarongs thethecoconut bikini tops…,Party Monster
actually don’t like martinis,All We Know
listen know invitation says 600 mean wantpeople get six show gonna start right six,Chop Suey!
don’t know don’t remember lot things neverhappened,Bleed
wh… come remember sleeping porch wecouldn’t stop giggling coconuts kept knockin’ together,Flashback
oh somewhere joey’s head exploding,Animals
i’m sorry rayray mean thought happened would say itmaybe passed stuff sleeping,Paranoid - 2012 - Remaster
didn’t,Don't Panic
would mine doesn’t fit pants little tight,Ain't No Rest for the Wicked
little tight could see doubleoh,The Ballad of Mona Lisa
well stinks looking forward us wearing celebrity tuxestogether,Someone You Loved
well mean you’re going wearing,Bleed
kidding it’s batman’s tux,Immigrant Song - Remaster
right that’s give whatever want ityou wanna sing song wanna dance want mom stand alter andscream racial slurs don’t care,Duality
i’m sorry,Somebody That I Used To Know
hell,Toxicity
don’t want say,Toxicity
oh come don’t care come whose,Chop Suey!
since weve going think ive mentioned name twice,Young Dumb & Broke
well im sorry im going eye doctor,Rolling in the Deep
stop come,Duality
bye,Pumped Up Kicks
wow umm calm,Bad Liar
mad,Toxicity
wanna list keep talking anyone seem list bythe way,Symphony Of Destruction - Remastered 2012
uh pheebs whats look like,Bleed
uh piece paper says ross,Toxicity
road trip yeah rent car tuesday,Thunder
oh wait grandmothers dead,Bohemian Rhapsody
well uh talk pheebs,Young Dumb & Broke
oh umm go,Monster
hey rach come gonna late eye doctor appointment,Someone In The Crowd
okay soso route take northern route southernroute,Nearly Witches (Ever Since We Met...)
ooh take northern route theres man illinois abeard bees okay must protest ive lived illinois life know ofno man beard bees wisconsin hand might different story,New Rules
southern route theres chicken plays tictactoe,Trndsttr
would rather fireman swimmer,Enemy (with JID) - from the series Arcane League of Legends
bamn go huh,Beautiful Alien (feat. AI AM) - Radio Edit
dont know umm…,Bleed
oh know decide phoebe show game,The Ballad of Mona Lisa
dude sick,Don't Panic
oh im sorry forgot whole rachel thing,Ain't No Rest for the Wicked
oh god,Cotton Eye Joe
im kidding im kidding,Savage Love (Laxed - Siren Beat)
glaucoma test,No Time for Caution
uhhuh,Pumped Up Kicks
yeah donti dont put things eye,All We Know
okay guess well see back three months,Don't Panic
ill fit glass eye,There's a Good Reason These Tables Are Numbered Honey
damn,Duality
man wish ross coming us yknow im gonna miss,Someone You Loved
uh really independent film yknow dont areal big budget figured id stay room,Young Dumb & Broke
see get first paycheck youll springing bighotel suite right mean lead movie must paying lot,Sandstorm
oh yeah every dollar shutter speed makes one penny goes rightin joeys pocket,Often
dont get paid unless movie makes money,Bad Liar
hear plot movie shes dead tenyears im gonna millionaire,Rock You Like A Hurricane
wanna say goodbye guys,Mr. Brightside
right byebye,Everything's Not Lost - Includes Hidden Track 'Life Is For Living'
byebye,I Feel It Coming
wanna say goodbye car,Plastic Heart
anybody want say goodbye car,November Rain
oh honey ill say goodbye car dont mind thepuss,Really Love (feat. Craig David & Digital Farm Animals)
oh im sorry didnt see,Don't Panic
phoebe mad something cause pleasetell,Build God
well dont know cant help,Bad Liar
well dont know,Bad Liar
apology accepted,Not Afraid
right phoebe come please tell didthat mad mad,Chop Suey!
dont know dont remember,Build God
oh mad know much sorry fatass thing actually sweet little hiney,Symphony Of Destruction - Remastered 2012
man im getting pretty tired youre might take soon,Calm Down
weve driving halfhour havent looked roadonce,In Waves
isnt rosss money,Bleed
dont know,Bleed
okay uhh would rather wet dry,Attention
dry,All We Know
dont think going big break,Thunder
dont believe,All We Know
look joe dont want get hopes real high,Toxicity
theyre even paying ya doesnt even sound like real movie,B.Y.O.B.
yknow dont need okay dont know youre dumping allover big break,Symphony Of Destruction - Remastered 2012
joe dont think going big break,Don't Panic
youre trip huh make feel like loser cause ifit ill tell ya iiid rather alone,Hurricane
oh dont want trip,Wrong
right ill tell ya next time ask question likethat ill lie,Bleed
youre actually supposed stop bridge,Don't Panic
angry said handwriting childlike,Rolling in the Deep
oh know umm hes always correcting peoples grammarwhom sometimes,Then We'll Talk
oh beat board game turns baby hestarts lose,Duality
eh stop,Friction
joey kicked car george washington bridge,In Waves
dont know went crazy yknow playing game whereyouyou ask question answer really fast,Bleed
game played without supervision,Don't Threaten Me with a Good Time
well dont know mad mad yknow said thatuh didnt think wasnt gonna big break movie wasnt going doanything uh yknow didnt sound like real movieokay heshouldve pushed bridge,Toxicity
whats bag,Play with Fire (feat. Yacht Money)
put head back,Astronaut In The Ocean
yes right yknow dont start practice runokay,Smooth Criminal - 2012 Remaster
drops,Whatever It Takes
knew lying,B.Y.O.B.
monica stop,Toxicity
lets say theres welldressed pack dogs ohio hey monicalisten isis phoebe gotta ask something car,Attention
hey pheebs listen wooden box keeps sliding seatwhatwhat,Chop Suey!
yknow wont even talk going apologize himif wont even talk,Then We'll Talk
well maybe send something gets lasvegas hell know youre sorry,Somebody That I Used To Know
dontdont say im sorry porn,Somebody That I Used To Know
yknow send cartoon cigarettes cause thatwhy could trade protection thats prison,Middle Of A Breakup
uhhmm,Bleed
would rather simon garfunkle,New Rules
garfunkle,Kaer Morhen
mad,Build God
said boringohh,Middle Of A Breakup
say boring,Chop Suey!
heyhey stanley heyhey youre leading man lets get work,Moves Like Jagger
umm slight change plans weve shut,Laid to Rest
whwhat,Toxicity
money thing dont,I Bet My Life
itits probably temporary hoping get moneysoon could uh hang,Royals
uh hang long,Nearly Witches (Ever Since We Met...)
dont know week maybe two money turn people willalways wanna invest movies hey youre rich ya,Royals
aw come itll years forget,November Rain
joey whats like movie set huh dressing roomdo chair name,Old Town Road
uh well yeahyeah ive got going yeah listen uh wantyou make sure tell chandler couldnt wrong uhoh gottago monica uh sushis,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
hey rach pass,Psychosocial
stop stop oh god,Nightmare
cause youre lazy get touchie,Symphony Of Destruction - Remastered 2012
hey pheebs listen uh favor forgot pin number tomy atm card get,Bad Liar
uh scratched atm machine corner,Royals
ohh youre 5639,Beautiful Alien (feat. AI AM) - Radio Edit
uhh stunt double yeah yknow hes getting little familiarfor tastes,All We Know
uhh pheebs heard put,Needled 24 / 7
dont come,Raining Blood
nononono ive supported one hundred percent want toprove person,There's a Good Reason These Tables Are Numbered Honey
got forgive ya dont come,Blinding Lights
forgive havent taking calls week,Rolling in the Deep
uh,Heaven and Hell - 2008 Remaster
uh,Bad Liar
richard simmons oh god,Cake By The Ocean
noo exboyfriend richard yknow tall guy moustache,Daddy
ooh cant tell chandler,Bonfire
would totally freak tomorrows anniversary ijust dont want anything spoil,Let Me Love You
oh cant believe guys lasted whole year,Savage Love (Laxed - Siren Beat)
awww youre,Unsainted
huh,Toxicity
oh doesnt want us go trouble think howexcited hell go surprise plus get ownanivegasary anevadaversary,Old Town Road
yknow pheebs kinda,Don't Panic
oh please gonna ditch like london,Duality
ditch phoebe pregnant triplets,Symphony Of Destruction - Remastered 2012
well guess could take couple days work,Calm Down
oh wait minute wait ive got presentation tomorrow cantmiss,Paranoid - 2012 - Remaster
supposed insult,Chop Suey!
dont know im tired,I Bet My Life
rach maybe could fly together saturday,Someone In The Crowd
yknow little alone time,In Waves
