Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism,Positive/Negative
im lying watched,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Negative
selection committee chosen three finalists today ultimate decision based upon answers give questions ask im gonna start dr li dr li claim field reliant linnaean taxonomic system propose correct problem,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
well believe answers lie osteological evidence plan begin,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
dr biely proposal includes field work might take place,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Negative
care venture guess,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
three excavation two analysis,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Negative
im sorry looking baby baby,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
wha wait wait wait minute none questions anything paleontology,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
youre right apologize scratch last question spell boscodictiasaur,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
starts silent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Negative
cant believe joey hate called liar,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
yes say hurt insulted tell somebody something,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Negative
ok whoahhey let stop right ok first lied right,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
sure didnt watch tape,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
really doesnt anything coming maybe place bedroom,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative
ive come apologize think may let feelings charlie interfere interview process,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
break charlie,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
crazy,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Negative
ooh god,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Negative
got monica sold,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
well legend joey comes alive youre asleep,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Negative
get legless witch,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
shes miine,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Negative
thats point chandler point lied,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
oh god,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Negative
lying wrong,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
exboyfriend insane,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Negative
didnt want know exboyfriend still love,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,Negative
really ethical ask someone grant review voice underdog,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
dont believe lets go talk okay im telling didnt ask,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
oh im sorry ask one uhm spell mboscodictiosaur,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Negative
damnit,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
dr geller charlie,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative
want tell everything deal tried make crazy questions wally cox thats voice underdog,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,Negative
like tried tell interview ross grant based knowledge pretty useless trivia,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative
maybe,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Negative
sweetie conversation starting make little uncomfortable,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
ha ha ha third time week man get old,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
youre mean,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
oh dont baby,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
oh nothing it’s acting exercise i’m practising fakelaugh,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
oh come man least let finish last one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
nono don’t hang one,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
come it’s hypnosis tape woman work used twoweeks straight hasn’t smoked since,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
pffhah,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
nothing it’s hypnosis beyond crap,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
right yknow forget hypnosis way quit smoking haveto dance naked field heather bath sweat six healthy young men,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Negative
father called thursday night,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,Negative
oh yknow didn’t want cinnamon,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
oh god,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Negative
oh well yknow would’ve called lost phone number andthen ah mom locked house couldn’t find triedto find pay phone ah receiver cut,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
ah oh ah vandalism,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative
well got fight ‘cause ah said immature toget married,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Negative
yknow would’ve bet good money he’d first oneof us get married,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Negative
yeah isn’t fantastic,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
exactly it’ll illegal drink bachelor party,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Negative
always illegal joe,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
well um ah mrs knight’s ah mean alice sorry alice ialways ah home ec class,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
doesn’t keep kids school,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative
yeah yknow wewe talked living together um want tohave kids right away,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
yknow mean really realise there’s age differencebetween us,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
oh good okay ‘cause acting like didn’t,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
falling fast asleep deeper deeper deeper nowcompletely asleep don’t need smoke cigarettes don’t control youare strong confident woman need smoke strong confident woman,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Negative
yknow realised last year i’ve goneout two guys richard julio gotta help gotta set yougotta get back game,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Negative
haven’t covered topic,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
aww reason want go blond wigand big boobs fact serve food,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
mean really think,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
hoho,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
pheebs don’t tell soon he’s gonna married andthen you’re gonna hate,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Negative
come guys nothing lose everything losedo want lose everything everything,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Negative
nah doesn’t anything,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
yknow forgot combination year ago justcarry around chap stick,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Negative
joke customer work crush gave 20000tip number check i’d call,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Negative
guy invented moss 865 every office world uses thatprogram,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
incredibly offensive,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
we’re saying don’t rush anything,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Negative
don’t think know,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Negative
look point there’s lot women haven’teven sex yet,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Negative
okay isn’t sex better it’s one person youreally really care,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Negative
don’t anymore,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
ah slept someone else,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Negative
okay wait right make things better,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
didn’t,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
whwhat like,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
don’t ask blew,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
don’t know maybe can’t mean maybe there’ssomething wrong,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
oh god died,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,Negative
absolutely okay first we’ll start little club soda andsalt doesn’t work go back to…,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative
yknow forget it’s ruined,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
oh nono never say can’t get cutaround stain add little lace make stylish throw,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Negative
instead maybe could marry brother frank,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
miss monica geller,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Negative
seriously supposed mean,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative
well y’know never know much tip,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
you’re supposed double tax double tax romania imean what’swhat’s deal trying buy wayyou get girls go,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative
umm i’m still,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
come gotta admit relationship ah hitting newlevel ‘cause used like chef customer nowwe’re like thisthis couple fights,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
okay umm you’re loon,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
don’t know,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
‘cause don’t want encourage kind behaviour,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
one meal that’s i’m asking please go eatand don’t good time give ten grand call even,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
okay whoa sorry like dark,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative
oh well probably worst one since i’ve alive,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,Negative
umm alice ah ah called,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
oh umm say,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
uh really young yknow don’tsee could sudden young ‘cause i’m older whenwe first got together,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Negative
yeah yeah don’t don’t know yknow maybeit’s best,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,Negative
yeah best like unbelievable pain,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
yknow finally happy yknow first time lifeafter dad left getting arrested stealing birds andthen whole punctured lung thing it’s still really hard takedeep breaths cold weather alice stuff kinda went away nowit’s it’s gone don’t know,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
umm well kinda little chat alice sort madeher see two shouldn’t together yknow you’re gonna see toone day really really,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Negative
wait minute wait,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Negative
well wait mother didn’t want us together theworst thing ever tie porch,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Negative
wait yknow ii came thought you’dunderstand oh yknow would storm right ifif money ora place go…,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Negative
ohnononono…,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Negative
know great little place,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
oh come it’s fair paid flight isthat enough lire,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
ahh i’d throw another thousand,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
hey frank look okay know think like totallyevil thing didn’t there’s someone explain betterthan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Negative
cigarette’s don’t control strongconfident woman need smoke,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Negative
what’s wrong,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
feelin’ wife sleeping gynaecologist,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Negative
like go bowling know you’re somebody else’sshoes,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
happening don’t know maybe it’s mywound,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
it’sit’s heeled yet,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
thomas gonna hard wanted come andnobody else,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Negative
it’s i’ve sleeping wife,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Negative
come big news pete wanted tell mon orshould say mrs monica becker,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Negative
nonono oh keep name don’t take name,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Negative
didn’t ask marry,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Negative
ohh,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative
wanted tell he’s gonna compete ultimate fightingcompetition thingy,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Negative
don’t know exactly it’sit’s sorta like wrestling,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
yeah without costumes,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
it’s fake it’s totally brutal,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
like bite pull people’s hair stuff,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Negative
yeah anything goes except ah eye gouging fish hooking,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
what’s fish hooking,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Negative
oh it’s bing sir i’m sorry ah,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Negative
yeesh what’d,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
well didn’t anything didn’t want guy whohas problem boss slapping bottom,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Negative
yknow don’t don’t understand guys mean ii wouldnever congratulate monica great stew yknow grabbin’ boob,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative
right chandler don’t give boss chance toget yknow ah don’t turn back,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
umm hey rach ask something,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Negative
okay totally say umm would okay iset ross date,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
ohohoh one bonnie,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Negative
remember birthday party two years ago she’s yeahlike average height medium build bald,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
iron steel let ask something come icall computer support line wait hour half,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Negative
told we’re adding new operators time could weconcentrate training,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
it’s hard know email,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Negative
hey umm listen umm friends telling little thisah ultimate fighting thing well sounds really dangerous ii don’t wantyou get hurt ‘cause kinda like,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Negative
oh i’m sorry look lot different last time iisaw,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative
yeah bald she’s,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative
could tell hair,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
well i’m sorry thought said okay,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
yeah said okay thought weird bald chicki mean yknow girl hair got,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
well maybe won’t work maybe ross won’t like herpersonality,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
bad personality,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
i’m telling need smacks got kid startingdartmouth fall,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
god ross,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Negative
yeah it’s ultimate fighting combo yeah saved thirty centsplus get keep cup yay,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
opponent hunnington beach california he’s 300pound street fighter tank abbottttttt,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
well guy serious serious trouble,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Negative
uhoh,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Negative
would nice hearing 20000 people chant “you suck”,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Negative
mean ii thought nuts first youyou nowyou look back thing regrets,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Negative
well i’m gonna stop i’m ultimate fightingchampion,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
guy stood neck passed,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,Negative
let tell story set create moss 865 thinkit happened overnight moss 1 burnt dad’s garagethere moss 2 would schedule appointments january 862 others ilearned like learned fight never let guy stand neck,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative
didn’t know already,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
oh one thing hoshi thinks ringside may haveaffected concentration,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
yeah thatthat problem,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
oh five minutes right they’re interviewing hisopponent apparently trains going iran pulling arms thieves,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Negative
ross umm go bonnie,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Negative
oh gotta tell ii wasn’t expecting like alli mean actually wasn’t expecting like anyone right she’s reallyterrific,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Negative
ohh that’s bad,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Negative
ahh one next foot sorry,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Negative
nine times okay put lotion it’s gonna beokay tomorrow i’m conducting experiment goes asplanned butt smack free,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
ah didn’t,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
oh forgot,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
ah didn’t instead ah hung acouple friends couple beers certainly don’t deserve praiseverbal otherwise,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
hmm,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
i’m little bit uncomfortable way expressyourself,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
oh swearing mean constant swearing igotta tell ya kiss ass,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Negative
itit’s swearing it’s ahthe way ah occasionally concentrate enthusiasm buttock,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative
okay would rather live shirt pocket sweaty giant orinside shower drain,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Negative
oh really nothing,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Negative
said bald,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,Negative
whatwhatwhatwhatwhat,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
phoebe can’t can’t let happen okay wehave something break okay go like shave herhead owe one bald girl,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,Negative
okay first breathe second don’t get itaren’t one decided didn’t want ross,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Negative
well isn’t friend don’t want happy,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Negative
oh killed,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Negative
it’s okay it’s bad looks it’s precautionah i’m supposed move spine,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Negative
can’t i’m ultimate fighter i’mtelling day come children argue win fight orsuperman i’m saying could beat superman yknow kids stupid,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Negative
sit right please listen terrible atthis okay worst ultimate fighter ever ever,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
yknow torn rotator cuff hairline fracture rightforearm severely bruised adam’s apple really hurt,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
