Cleaned_Dialogue,Positive/Negative,Song Recommendations
oh knew you’d cool right ah hey youwant meet,Positive,Alors on danse - Radio Edit
yeah ah pheebs don’t think he’s little young toget married,Positive,Bleed
yeah oror get hooker,Positive,Bleed
yknow itit’s funny um frank told much yournot pictured,Positive,Beautiful Alien (feat. AI AM) - Radio Edit
yeah i’m big surprise,Positive,Rock You Like A Hurricane
um howhow guys meet,Positive,Señorita
wow kids frank sure you’re ready,Positive,Beautiful Alien (feat. AI AM) - Radio Edit
mean hard yknow mean yknow babies yknow whodoesn’t want babies right besides yknow never dad around ahnownow always ‘cause yknow it’ll right,Positive,WILD
oh comes love age matter,Positive,Champion Of The World
well shouldn’t problem mean work fashion alli meet eligible straight men,Positive,Can't Hold Us (feat. Ray Dalton)
yeah slice cheesecake andand date you’re given’‘em,Positive,I Feel It Coming
hmm come said you…,Positive,Toxicity
nono oh i’m fine age thing yknow startssticking it’s tongue little brother’s throat,Positive,B.Y.O.B.
well havehave told feel,Positive,Wrong
we’re walking street turn say“hey let’s go hang totally nude nudes” remember andthen turn say “nah let’s hang place”well nice move dumb ass,Positive,All We Know
think definitely go guy,Positive,You Just Haven't Thought of It Yet
monica last saturday night happened,Positive,Bad Liar
hey tapes working ya,Positive,Take on Me
good haven’t smoked yet today feel great andandandconfident stunning blouse,Positive,Savage Love (Laxed - Siren Beat)
hey mon let’s give pete chance come funny seemsreally nice check thing adorable,Positive,Levitating
oh god that’s pete bill huggin’ pete,Positive,Bleed
oh god monica’s gonna go millionaire,Positive,Old Town Road
oh god can’t believe real 20000 check oh isjust exciting,Positive,Savage Love (Laxed - Siren Beat)
yeah come think you’re 18 okay she’s 44 whenyou’re 36 she’s gonna 88,Positive,Chop Suey!
yeah hehe’s right he’s right time yknow yeahyou’re young you’reyou’re weird chicks dig,Positive,Confidence
man’s right that’s rachel,Positive,Wake Me up When September Ends
okay used rachel i’ve got withalice,Positive,The Ballad of Mona Lisa
it’s cool man it’s it’s ‘cause beingwith much better like,Positive,Symphony (feat. Zara Larsson)
it’s man i’ve seen got,Positive,Hotter Than Hell
couldn’t help love pure,Positive,Señorita
yeah know it’s real mustardtastrophe help,Positive,Wait and Bleed
okay that’s great make smaller make fit onthe head pin love make things fit head pin,Positive,Blinding Lights
got yeah right yeah okay,Positive,Hall of Fame (feat. will.i.am)
oh well um laundry smelled good thoughti’d curl right,Positive,A Million Dreams
oh yeah sure day,Positive,Free Bird - Edit
uh well tell it’s it’s butyknow love okay,Positive,Done for Me (feat. Kehlani)
guys please i’m gonna dinner okay,Positive,Royals
okay okay buys dinner mean owe himanything,Positive,Royals
hey much cash got pocket right,Positive,Lose Yourself
oh that’s sounds great,Positive,Can't Feel My Face
you’re hey you’re paying pizza,Positive,Toxicity
right umm even though love much wedo none less…,Positive,Die For You
you’re gonna believe okay go,Positive,Bonfire
yeah move little bit,Positive,Psychosocial
guys listen go umm,Positive,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
well yknow he’s got access,Positive,Starboy
yknow it’s feeling get yknow,Positive,Blinding Lights
monica gonna tell us,Positive,Play with Fire (feat. Yacht Money)
yeah it’s two guys ring rules are“they’re,Positive,Dance Off (feat. Idris Elba & Anderson .Paak)
hands totally clean gave duck bath,Positive,Lose Yourself
thanks warm welcome it’s good guys myteam come play hope let’s go get‘em huh remember ‘i’ team,Positive,You Just Haven't Thought of It Yet
yes there’s two martini soo everybody,Positive,Alors on danse - Radio Edit
thank today boss keep slapping butt acting likeit big deal,Positive,Symphony Of Destruction - Remastered 2012
gotta tell ya think it’s okay guy,Positive,Calm Down
yeah know really great stew yknow stick headin ‘em,Positive,Not Afraid
okay please go eat,Positive,I Feel It Coming
umm friend bonnie always thought ross really cuteand two aren’t together asked could set ifyou’re cool,Positive,Chop Suey!
okay good ‘cause umm well maybe could little workoutof,Positive,Trndsttr
oh yeah well started wearing bras,Positive,Rock You Like A Hurricane
don’t know hardly ever say people,Positive,Toxicity
you’re favourite you’re guy,Positive,Location
well that’s true hehe smacked,Positive,B.Y.O.B.
new york city new york appearing ultimate fightingchampionship debut he’s known confrontational business style ladies andgentlemen introducing pete beckerrrr,Positive,Smooth Criminal - 2012 Remaster
don’t worry hoshi taught use opponent’s strengthand weight,Positive,You Just Haven't Thought of It Yet
right go get let’s go,Positive,The Ballad of Mona Lisa
well you’re gonna get going,Positive,Symphony Of Destruction - Remastered 2012
well let ask question ultimate fighting champion,Positive,American Idiot
look i’m gonna get better okay promise,Positive,It's My Life
hey long pete’s fight,Positive,Thunder
yeah yknow fish sea,Positive,Free Bird - Edit
pheebs think she’s great okay we’re going,Positive,ZT (3x3)
okay hear capable talking thing else,Positive,I Bet My Life
well say yknow takes guts bring bingyou’re okay,Positive,Boss Bitch
come phoebe look breaking look themokay that’s know second date that’swhat look put hand thigh,Positive,C'mon - Single Version
please tell you’re stopping,Positive,Location
insane youyou gotta give,Positive,Paranoid - 2012 - Remaster
keeping thanksgiving secret year,Positive,Chop Suey!
thats like insanely easy,Positive,One of the Drunks
okay rachels got 48 phoebe lead in…vegetablesjoey,Positive,I Feel It Coming
hey new england state huh sportsteam,Positive,Chop Suey!
well going figured know youre food sodelicious perfect never many pumpkin things,Positive,Young Dumb & Broke
46 wow whos well educated mr iforgottenstates,Positive,New Rules
drawer full takeout menus okay right,Positive,Calm Down
ross im gonna use okay,Positive,There's a Good Reason These Tables Are Numbered Honey
dont worry chandler globe united states,Positive,Not Afraid
hey guys im gonna go take walk,Positive,I Feel It Coming
ross’s apartment nice come dont hang moreoften,Positive,I Feel It Coming
yeah went back ohio,Positive,Roots
well still go right,Positive,Bleed
fine take advice one ever listens package isthis pretty one cares whats inside,Positive,Duality
guys together long time,Positive,Disintegration - 2010 Remaster
no…yeah time constantly terrifying knowthat figure it…it work,Positive,Everything's Not Lost - Includes Hidden Track 'Life Is For Living'
joey say like back,Positive,We Are Young (feat. Janelle Monáe)
okay phoebe probably go back,Positive,Calm Down
stop stop okay lets go strong,Positive,American Idiot
relax ross shes made ice cream,Positive,Hall of Fame (feat. will.i.am)
um phoebes room cant go,Positive,Nightmare
bring dog back youre hero,Positive,Pumped Up Kicks
chandler like big gerbil,Positive,Bleed
said like probably yeah,Positive,Royals
okay cannot tell look whose back,Positive,Trndsttr
please please please dont mad,Positive,Cirice
good news look whose back,Positive,Snow (Hey Oh)
thats right came back,Positive,Levitating
hey us think gonna get married next,Positive,Thunder
oh nono it’s good it’s good ii actually work,Positive,Safe To Say
i’m divisional head men’s sportswear,Positive,Symphony Of Destruction - Remastered 2012
listen wewe dinner whatwhat tomorrownight,Positive,Chop Suey!
hey guys look who’s back it’s rayray,Positive,We Are Young (feat. Janelle Monáe)
she’s actually sweet used close,Positive,Daddy
would think they’re invited,Positive,Chop Suey!
well thanks lot hookin’ rach want knowthat want attend wedding guest,Positive,Let Me Love You
mean tuxes red carpet peopleyelling wearing look fabulous,Positive,Savage Love (Laxed - Siren Beat)
umm well let’s see uh one tom brokaw,Positive,Bad Liar
007 james bond’s tux,Positive,Savage Love (Laxed - Siren Beat)
oh get married james bond’s tux,Positive,Sandstorm
it’s pretty cool tux,Positive,Paradise
i’m performing ceremony i’m wearing tux,Positive,Hall of Fame (feat. will.i.am)
hey oh rach wait want go movie tonight,Positive,Blinding Lights
oh good tell tell,Positive,Someone In The Crowd
okay seems pretty wild you’re so—y’knowso…vanilla,Positive,Beautiful Alien (feat. AI AM) - Radio Edit
right y’know don’t want believe aboutthis don’t come dinner tonight tell,Positive,It's My Life
okay right yeah ‘cause can’t picture,Positive,Beautiful Alien (feat. AI AM) - Radio Edit
ohho get inside head,Positive,There's a Good Reason These Tables Are Numbered Honey
that’s right made expressly val kilmer worn thehit film…that batman film,Positive,Organ Variation
can’t wear i’m wearing famous tux jamesbond’s tux,Positive,Animals
well need something make day special hello youyouyou havethe special thing,Positive,Symphony (feat. Zara Larsson)
please don’t take away cool thing please pretty please,Positive,Stressed Out
pretty please uh 007,Positive,Can't Hold Us (feat. Ray Dalton)
look it’s wedding day okay getting married iwould never anything upset,Positive,The Pot
hey oh goodgood you’re right figured outi’m gonna take two tables eight i’m gonna add parents i’mgonna turn three tables six okay called caterer added twoextra meals good go,Positive,ZT (3x3)
oh oh that’s great,Positive,Cake By The Ocean
…we went back house got really silly we…we madeout,Positive,Symphony (feat. Zara Larsson)
oh wow rayray idea you’re talking,Positive,Bleed
well manage keep identity secret long time,Positive,2 MUCH (feat. 24hrs)
rachel got ross tuxedo val kilmer wore batman okay batmanis much cooler james bond,Positive,You Just Haven't Thought of It Yet
go put 007 tuxedo i’ll make nicemartini,Positive,Cake By The Ocean
right right wedding gotcha mean it’s gonna start alittle late right mean weddings start late right,Positive,Toxicity
ah yeah well look thing it’s day myniece’s christening really want parents time see me‘cause part’s beginning i’m even rest theshow—wedding,Positive,Politik
okay okay totally hear ya oo vamp little‘til get,Positive,Moves Like Jagger
yeah yeah y’know like warm crowd ask ‘em wherethey’re ‘cause joey tribbiani get minister,Positive,Smooth Criminal - 2012 Remaster
rachel it’s okay don’t believe youall right okay ifif say kissed melissa kissed melissa,Positive,Royals
yes find something conversation piece,Positive,Calm Down
okay jacket doubleoh seven gettin’ inthere,Positive,B.Y.O.B.
ii wanna thank guys parentsthat really sweet they’re happy get part special day,Positive,I Want to Know What Love Is - 1999 Remaster
well you’re welcome tell we’re really gladthey’re coming,Positive,Alors on danse - Radio Edit
wow mean idea gonna…,Positive,Immigrant Song - Remaster
well y’know say 23,Positive,Sugar
oh matter matters look handsome,Positive,Symphony (feat. Zara Larsson)
well eye little itchy,Positive,Psychosocial
richard im gonna go see exboyfriend,Positive,American Idiot
oh richard thats ever hear richard richard richard,Positive,Hurricane
richard okay new guy hes really good,Positive,Can't Hold Us (feat. Ray Dalton)
hey rach remember great song,Positive,Party Monster
right gotta go im taking ben park,Positive,Paradise
look dont wanna talk okay,Positive,Psychosocial
got lead movie thats amazing whats movie,Positive,Cake By The Ocean
called shutter speed really cool yeah umm meet girlin subway fall love like day right,Positive,Something Just Like This
yeah know means buddy,Positive,Buni
cab probably wont using drive lasvegas,Positive,Can't Hold Us (feat. Ray Dalton)
oh hey joey whats,Positive,Buni
cant decide route take vegas hey youve traveled lotright,Positive,Dance Off (feat. Idris Elba & Anderson .Paak)
well back square one,Positive,Wait and Bleed
oh know way decide right im going ask aseries questions answer quickly,Positive,The Ballad of Mona Lisa
monica oh… huh always thought would rachel,Positive,Toxicity
thinking thinking tie ascot,Positive,Attention
north route south route,Positive,I Dunno (feat. Dutchavelli & Stormzy)
wow incredible beard bees come,Positive,Rock You Like A Hurricane
uhh much guys want see movie tonight,Positive,Collar Full
dont know hey know decide okay im gonna ask youquestions answer real quick okay,Positive,Dance Off (feat. Idris Elba & Anderson .Paak)
like better action comedy,Positive,Attention
almost first gotta start,Positive,Thunder
small puff air come,Positive,Psychosocial
yknow im gonna hold head,Positive,MONEY
okay youve got small minor infection left eye wantyou take drops three times day youll good new,Positive,Lose Yourself
thanks lot got jerk mind,Positive,Titanium (feat. Sia)
hey staying movie putting us bighotel suite,Positive,Dance Off (feat. Idris Elba & Anderson .Paak)
well cant remember cant forget,Positive,Bad Liar
yeah okay rosss treat wanna eat,Positive,C'mon - Single Version
ooh hey know decide right uh im gonna ask abunch questions answer real fast okay uh clear mindclear right clear clear,Positive,Take on Me
movie gonna big break,Positive,Sandstorm
talking im lead movie,Positive,Enter Sandman (Remastered)
yeah dont want trip,Positive,Duality
right fine fine dont pull ill get rightnow,Positive,Duality
okay mad hair gel smells,Positive,Build God
okay yknow help need help cant,Positive,Ain't No Rest for the Wicked
oh god thinking four,Positive,Immigrant Song - Remaster
well well said practice,Positive,Royals
oh god really freakishly strong,Positive,Beautiful Alien (feat. AI AM) - Radio Edit
like better flora fauna,Positive,Free Bird - Edit
oh god remember playing chess,Positive,Flashback
hey pal joey tribbiani,Positive,Temperature
hey joey aww remembered even though youre big star,Positive,Alors on danse - Radio Edit
pheebs could get please,Positive,Rasputin
hey tribbiani get back work break times,Positive,The Pot
well im totally chandler friends forever dont come,Positive,Pumped Up Kicks
okay tell chandler okay ran richard,Positive,Cirice
oh okay actually makes sense,Positive,Pumped Up Kicks
really nice started talking ii ended havinglunch,Positive,Señorita
weird dream youd lunch richard,Positive,Beautiful Alien (feat. AI AM) - Radio Edit
strange part really nice umm looks great ididnt feel anything,Positive,Bleed
wow owe rachel 20 bucks,Positive,Savage Love (Laxed - Siren Beat)
know believe one year ago today yourannoying friend chandler,Positive,Everglow
weekend oh gosh would perfect get see joey pluswe get start anniversary celebration plane call outplaneaversary,Positive,Someone In The Crowd
okay great joey said didnt want us,Positive,Bleed
yeah think see people,Positive,I Bet My Life
okay im gonna go,Positive,Enemy (with JID) - from the series Arcane League of Legends
uhhuh great story im going,Positive,Moves Like Jagger
hey guys listen weekend gonna go las vegas tosurprise joey including wanna go,Positive,Trndsttr
course take couple days work trip includesme,Positive,Someone In The Crowd
oh ive got tickets van gogh exhibit ive waiting like ayear,Positive,2 MUCH (feat. 24hrs)
okay yeah would nice actually apartment myselffor night,Positive,LA Devotee
oh yeah walk around naked,Positive,The Ballad of Mona Lisa
love forgot present fake,Positive,Don't Start Now
oh thats okay don’t worry give weget back,Positive,Free Bird - Edit
promise next time absolutely tell,Positive,Whatever It Takes
theres gonna next time ever see,Positive,Paranoid - 2012 - Remaster
whoa whoa guys please come come obviously,Positive,New Rules
okay right thats true yknow dont embarrass thateasily,Positive,Lose Yourself
right well ill take someplace nice look guy tipped ahundred bucks today,Positive,Savage Love (Laxed - Siren Beat)
yeah right right keep walkin right,Positive,The Pot
whats identical hand twin,Positive,Toxicity
found identical hand twin,Positive,Blinding Lights
yeah well shes probably talking richard,Positive,Royals
ross walking around like since plane ican—you,Positive,Sugar
actually took drew back,Positive,Royals
thats gonna make money,Positive,All We Know
look like im going home,Positive,Bad Liar
ohho yeah yeah hand guy,Positive,Temperature
look given gift okay something withit likelike hand modeling huh oror magic,Positive,Enemy (with JID) - from the series Arcane League of Legends
oh god im starting look like great aunt muriel,Positive,Disintegration - 2010 Remaster
yes iveive never seen roll like life,Positive,Hotter Than Hell
thats right baby okay want,Positive,Levitating
okay good okay want,Positive,Someone In The Crowd
yes love ive never loved anybody much love,Positive,Señorita
okay come lets go right,Positive,Levitating
im doin good baby doin,Positive,Pumped Up Kicks
well hello im ross,Positive,Temperature
ohh great condom wallet ive since twelve,Positive,Kaer Morhen
wellwell bring back put dress,Positive,One of the Drunks
cant sit youre gonna play,Positive,Bad Liar
hello one marriage please,Positive,Blinding Lights
yep wanna get married,Positive,Symphony (feat. Zara Larsson)
well theres service progress seat,Positive,Lose Yourself
sweetie know sense humor comes wedding,Positive,Nightmare
know exactly i’m going say,Positive,Smooth Criminal - 2012 Remaster
happen know i’m going say,Positive,Dance Off (feat. Idris Elba & Anderson .Paak)
well carol promised never love another woman day idie made promise,Positive,Bohemian Rhapsody
well like pretty little drawing wedding dress,Positive,Symphony (feat. Zara Larsson)
hi im rosss little sister,Positive,Often
okay okay okay umm maybe start chandler,Positive,Bad Liar
it’s kind important one,Positive,Enemy (with JID) - from the series Arcane League of Legends
oh got saying something like monica…,Positive,The Ballad of Mona Lisa
…when look back time together…,Positive,Green Eyes
oh look twins hi guys oh cute cute,Positive,Señorita
wont married im 40,Positive,Sugar
ok hypothetically wont married im 40,Positive,Bleed
said loved cant believe,Positive,I Don’t Wanna Live Forever (Fifty Shades Darker)
okay lived together understand i’msaying,Positive,Into the Unknown - Panic! At The Disco Version
how’s monica coming along vows,Positive,The Ballad of Mona Lisa
well let’s say she’s lucky sweet ass‘cause she’s good writing,Positive,Royals
yeah you’re right how’s mrs,Positive,Don't Panic
ahh thanks chicken byebye,Positive,I Write Sins Not Tragedies
big deal tell someone,Positive,One of the Drunks
okay believe shes attracted,Positive,Dance Off (feat. Idris Elba & Anderson .Paak)
ohhh oh god oh god knows us,Positive,Heaven and Hell - 2008 Remaster
rachel wouldve told made promise tell,Positive,Chop Suey!
well guess theres nothing left us butbut kiss,Positive,Bonfire
okay okay okay win win cant sex ya,Positive,I Bet My Life
yes wed appreciate one told yet,Positive,New Rules
y’know you’re friend’s getting married it’s gottachange things,Positive,Thunder
really think would different,Positive,Organ Variation
yes yes fine penis grownups,Positive,Royals
wow monica look like grandmother old,Positive,Kaer Morhen
lets see 1939 yeah 24 25,Positive,Organ Variation
well talkin’ guys gettin’ married andhow great,Positive,Symphony (feat. Zara Larsson)
don’t worry honey we’ll make funnier,Positive,MONEY
first big kid’s bike exciting,Positive,Blinding Lights
oh yeah remember mine ohh sixth birthday dad took meto park got and…it bent,Positive,Nearly Witches (Ever Since We Met...)
girl ever let ride,Positive,Trndsttr
making holiday candy neighbors,Positive,Alors on danse - Radio Edit
eh somebody’s good mood,Positive,I Feel It Coming
oh yeah what’s plan,Positive,The Ballad of Mona Lisa
wow took night come,Positive,Duality
oh monica come y’know don’t sleep guys firstdate,Positive,New Rules
matt guire mark lynn ben wire…,Positive,High Hopes
hi tag conference call today correct,Positive,Free Bird - Edit
okay hard worker i’ll remember put yourevaluation,Positive,Often
yeah they’ve coming day love,Positive,Señorita
ross neighbors ate candy,Positive,Friction
yeah ever since uh told story bike iicouldn’t stop thinking mean everyone aa,Positive,2 MUCH (feat. 24hrs)
way bike brought lot closer,Positive,Needled 24 / 7
okay oh god first bike thank best present i’veever gotten,Positive,Waterloo
it’s candy time roommate says taste like little dropsof heaven,Positive,Let Me Love You
well okay i’ll swing later live building,Positive,Take on Me
umm said thought good kisser uh likeyour tineytiny touchie,Positive,Señorita
phoebe really likes bike huh,Positive,Let Me Love You
oh yeah saw walkin’ street day shehad uh flowers basket cute,Positive,Señorita
yeah saw morning walkin’ park,Positive,Roots
absolutely y’know touchie mean ass goodworker,Positive,Alors on danse - Radio Edit
please people coming town today told themall candy,Positive,Blinding Lights
told ‘em candy absolutely indescribable,Positive,Bugzy Malone
became chef people would like,Positive,Build God
okay remember everything taught you’ll fineokay go ready…set…,Positive,The Ballad of Mona Lisa
okay phoebe justjust getget bike and—hey i’ll holdyou andand push okay,Positive,The Ballad of Mona Lisa
great yesyesyes take control yes,Positive,ZT (3x3)
ii thought well i…,Positive,Ain't No Rest for the Wicked
right care enough make load crap okay,Positive,All We Know
hello rachel uh got minute,Positive,Heat Waves
uh actually i’d like speak,Positive,Astronaut In The Ocean
kidding cute butt like i’d find work,Positive,One of the Drunks
yeah lady give us candy,Positive,Someone In The Crowd
smokesalot lady blew smoke directly mouthehuh—are okay,Positive,Radioactive
i’m fine really scary meansomeone slipped aa threatening note door,Positive,Nightmare
can’t believe rode bike never thoughti’d able thank ross,Positive,Savage Love (Laxed - Siren Beat)
oh shes home putting decorations rachels birthday party tonight,Positive,Someone In The Crowd
ok know im gonna take outside,Positive,Lose Yourself
oh wow molly great,Positive,Snow (Hey Oh)
yes bravo hot nanny,Positive,I Feel It Coming
really think shes hot,Positive,Heaven and Hell - 2008 Remaster
hey mike whats capital peru,Positive,Take on Me
ok fine means much ill get rid bob,Positive,Killing In The Name
giving appology totally checking,Positive,Symphony Of Destruction - Remastered 2012
oh yeah im jealous oh gavin,Positive,The Hardest Part
totally different two reasons one didnt know knew two wasnt creep staring ass deap meaningful relationship,Positive,New Rules
whats big deal maybe shes attractive obvious kind way,Positive,Heaven and Hell - 2008 Remaster
yeah hey nice guys back let joey get girl,Positive,Young Dumb & Broke
ok ill home right work ok emmawemmademma love wovyou dovyou,Positive,Yellow
theyve elected talk baby talk good,Positive,Toxicity
listen favor im gonna today keep eye joey make sure nothing happens molly,Positive,Hall of Fame (feat. will.i.am)
allright fine dont blame doesnt work know well joey sets mind something often hes going sex,Positive,Royals
actually long know really need organize thoughts,Positive,Far Too Young to Die
allright fine one thought hot nanny gotta see,Positive,Blinding Lights
yes matter fact cant let go,Positive,Royals
huh interesting obstacles hot nanny world kind stuff great novels made,Positive,There's a Good Reason These Tables Are Numbered Honey
oh please dont care enough bug fact im going take high road im going nice mommas boy,Positive,Symphony Of Destruction - Remastered 2012
yeah oh first monica would like introduce talented colleage importantly wonderful friend gavin mitchelle,Positive,Let Me Love You
pleased meet youre coming rachels party tonight,Positive,Someone In The Crowd
invite cant stand guy,Positive,Symphony Of Destruction - Remastered 2012
hey mr philips nice suit,Positive,Body (Remix) [feat. ArrDee
oh youre welcome party im glad youre good time,Positive,Paradise
hey rach sing happy birthday,Positive,Someone In The Crowd
ahhhh brought rats birthday party,Positive,All We Know
molly ah mind giving us minute,Positive,Take on Me
hey become one couples whose lives revolve around rats,Positive,Toxicity
well know theyre responsibility,Positive,Lose Yourself
ok fine rats responsibility happens mate hundreds,Positive,Play with Fire (feat. Yacht Money)
mate theyre brothers sisters,Positive,Not Afraid
yeah problem rats theyre love one youre kind animals,Positive,Calm Down
yeah ok guess youre right allright give away nice families children reduced fat wheat thins theyre bobs favorites,Positive,Location
hi thanks party honey help clean,Positive,Hold
way party mine everything alright,Positive,Toxicity
see gavin youre capable nice guy give hard time,Positive,Pumped Up Kicks
well monica seems think feelings,Positive,Bad Liar
yeah sure well yknow earlier talking geography,Positive,Calm Down
well think learned something,Positive,Don't Panic
great okay tomorrow we’re gonna drive montauk,Positive,C'mon - Single Version
made joke right laughed,Positive,Savage Love (Laxed - Siren Beat)
oh hey oh good brought food,Positive,Someone In The Crowd
oh best karma week first find woman whoknew parents client fuzzy back gives beach house,Positive,Someone In The Crowd
yeah ah bike messenger hit,Positive,Toxicity
yeah think looks good,Positive,Young Dumb & Broke
buy ya win ya,Positive,Enemy (with JID) - from the series Arcane League of Legends
well yes it’s kind’ve unusual house umm threebeautiful bedrooms ah baths yknow ocean right,Positive,Paradise
hi phoebe abott i’m best friends daughter,Positive,Señorita
oh gosh lily yes course remember lily must,Positive,Kaer Morhen
nono sorry cookies good thanks,Positive,Calm Down
ohh well yknow always together fact nicknamefor three us,Positive,Baby Blue - Remastered 2010
come go away youyou play it’s like law,Positive,Thunder
take like man ross,Positive,American Idiot
hey know naked card game never boring,Positive,Cake By The Ocean
i’m kind caring sweet what’s monica like,Positive,Hold
ah phoebe one went go see,Positive,Bleed
ohh think knows dad,Positive,E1 (3x3)
right i’m gonna close eyes point someone youwhoever point come something fun us,Positive,Thunder
strip happy days game,Positive,YOUTH
monica get five cool points get make somebody take offone item clothing hasn’t happened yet we’re excited,Positive,Someone In The Crowd
right relax it’s shoe,Positive,Psychosocial
fine gang got right want,Positive,The Pot
actually yknow it’s kinda cold keep boxers onand give peek good stuff,Positive,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
hi boss let early took train,Positive,Alors on danse - Radio Edit
we’re playing strip happy days game,Positive,Bonfire
saw checking game last night,Positive,The Ballad of Mona Lisa
passed put sand around keep warm,Positive,Lose Yourself
oh water sooo great jumped pier suit cameoff,Positive,Paradise
yeah joey chandler sure funny,Positive,Yellow
yeah thank rachel soo cool,Positive,Hold
well she’s town there’s gotta something herhouse tells father,Positive,Royals
okay look iii something nice okay i’lli’ll fill herice trays,Positive,Nearly Witches (Ever Since We Met...)
okay i’ll see bit,Positive,Trndsttr
come see doesn’t look bad,Positive,Hall of Fame (feat. will.i.am)
see moonlight bouncing head hell youthinking,Positive,Toxicity
right ross think it’s easy see withsomebody else,Positive,Politik
yknow hey you’re one ended remember,Positive,Hurricane
oh yyeah youyou love,Positive,Señorita
right man picture chuck magioni,Positive,Hall of Fame (feat. will.i.am)
i’m telling ya guys totally getting back together,Positive,Thunder
okay gotta back away right don’t need thatkind’ve hurt take guy who’s never long term relationship,Positive,Astronaut In The Ocean
guys water’s great really go,Positive,Moves Like Jagger
oh ahh thanks mm,Positive,Pumped Up Kicks
let get straight go bonnie tonight you’redoing smart healthy thing moving,Positive,Whatever It Takes
right go rachel bonnie’s free tonight,Positive,Dance Off (feat. Idris Elba & Anderson .Paak)
hi right let’s go shoppin’,Positive,Fivio Foreign & Darkoo]
hey how’d date go mr millionaire,Positive,Play with Fire (feat. Yacht Money)
he’s great mean good time together he’s sofunny sooo sweet i’m attracted,Positive,Alors on danse - Radio Edit
lifesized imperial storm troopers,Positive,Bonfire
wow joey put fight,Positive,Cake By The Ocean
yeah either gloria estefan right eventually rhythmis going get,Positive,Sandstorm
oh you’re playing adrienne huh,Positive,I Dunno (feat. Dutchavelli & Stormzy)
yes one retarded cousins,Positive,Heaven and Hell - 2008 Remaster
oh ah playing husband victor i’m joey tribianni,Positive,Cotton Eye Joe
hi nice meet kate miller,Positive,Pumped Up Kicks
ah play’s pretty great huh,Positive,Calm Down
oh yeah love jennifer van murray’s work she’s sobrilliantly incisive comes deconstructing psyche american middleclass,Positive,Cake By The Ocean
that’s you’re soap actor well must bepretty exciting real play hmm,Positive,Play with Fire (feat. Yacht Money)
hey i’ve done plays i’m serious actor,Positive,Can't Hold Us (feat. Ray Dalton)
wow cannot believe mark asked,Positive,Savage Love (Laxed - Siren Beat)
well told would think i’m gonna tell,Positive,Royals
wow okay maybe means you’re ross yet andyou issues father,Positive,Rain
okay it’s probably ross thing,Positive,Sugar
rachel called wants see going minute,Positive,Enemy (with JID) - from the series Arcane League of Legends
wow whatwhat think wants,Positive,Cotton Eye Joe
ross got free museum gift shop,Positive,Cutthroat
it’s still gift got,Positive,Alors on danse - Radio Edit
okay right give mug i’ll keep mug,Positive,One of the Drunks
know much love tshirt never even thattshirt,Positive,Done for Me (feat. Kehlani)
you’re age you’re age,Positive,We Are Young (feat. Janelle Monáe)
got go ah i’ll see guys later,Positive,Collar Full
happy i’m supposed vic happy,Positive,Then We'll Talk
