Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism,Positive/Negative
know would give,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Positive
want,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Positive
landed food,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Positive
hey joe,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
whats,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
watched,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
keep going pinocchio,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
watch tape,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Positive
certainly well dr geller birthday,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
half dozen,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
see dr biely,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
certainly dr geller 1965 shirelles hit later covered popular british invasion band,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
yeah made spell,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Positive
oh come,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
say,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
still,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,Positive
really,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
anyway ive decided offer grant,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
well one small stipulation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
hey got one right,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
youre crazy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
crazy romantic,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Positive
joey,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
joey keeping,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive
original buffay,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
alright fine keep long dont mind shes haunted,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,Positive
hey wey whoo,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Positive
hey sold joey,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
cant shes,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Positive
shes,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
shes,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
shes mine,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive
want gladys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Positive
know youre right whats gonna take forgive,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,Positive
excellent,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
say,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
im pretty little girl,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
knew,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
get grant,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Positive
yeah wouldnt give grant,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
benji isnt love mean broke,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Positive
im sure joking ross,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
seriously,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
well like lake mbosco congo mbo,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Positive
dont want look eyes tell truth,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Positive
benji,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
alright true behaved horribly still love would,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Positive
little late benji,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
cant believe,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,Positive
never broken think time mean ever still think,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,Positive
yes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
dont know say benji romantic,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Positive
listen know may way bounds chance take back,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,Positive
love,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
okay thats seeing people,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Positive
gladys,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
whatwhat’s funny,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
okay give drag,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
okay,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
okay that’s like least fun game ever,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive
ross watched get hypnotised atlantic city,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
hey guy hypnotise okay,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
go,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hi,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
frank hi,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
happened,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Positive
also happened mom,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Positive
getting married,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
oh yeah,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
wow,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
little brother’s getting married,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
oh knew you’d cool right ah hey youwant meet,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
yeah yeah,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yeah ah pheebs don’t think he’s little young toget married,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
he’s 18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yeah oror get hooker,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Positive
yknow itit’s funny um frank told much yournot pictured,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
yeah i’m big surprise,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
um howhow guys meet,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
best student,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yeah best teacher,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Positive
guys gonna married,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,Positive
oh god great,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
wow kids frank sure you’re ready,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
mean hard yknow mean yknow babies yknow whodoesn’t want babies right besides yknow never dad around ahnownow always ‘cause yknow it’ll right,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Positive
oh comes love age matter,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Positive
well shouldn’t problem mean work fashion alli meet eligible straight men,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
yeah slice cheesecake andand date you’re given’‘em,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
hmm come said you…,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
pheebs age thing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Positive
nono oh i’m fine age thing yknow startssticking it’s tongue little brother’s throat,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
pheebs seems enjoy,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive
well havehave told feel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Positive
yes loud,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
we’re walking street turn say“hey let’s go hang totally nude nudes” remember andthen turn say “nah let’s hang place”well nice move dumb ass,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive
think definitely go guy,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
monica last saturday night happened,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
right,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
uh yeah,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
hey tapes working ya,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
yknow pretty good,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yeah,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
good haven’t smoked yet today feel great andandandconfident stunning blouse,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
thank,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
thanks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hey mon let’s give pete chance come funny seemsreally nice check thing adorable,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
check thing,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Positive
that’s bill clinton,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
who’s huggin’,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
oh god that’s pete bill huggin’ pete,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
use,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
go,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
oh god monica’s gonna go millionaire,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Positive
i’m gonna go,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive
oh god can’t believe real 20000 check oh isjust exciting,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
oh yeah sure,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yeah come think you’re 18 okay she’s 44 whenyou’re 36 she’s gonna 88,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
yeah hehe’s right he’s right time yknow yeahyou’re young you’reyou’re weird chicks dig,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Positive
yeah poem maybe,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
man’s right that’s rachel,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,Positive
okay used rachel i’ve got withalice,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
it’s cool man it’s it’s ‘cause beingwith much better like,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
yeah yeah,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
well want,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Positive
oh,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,Positive
it’s man i’ve seen got,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
hold,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
right man,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
couldn’t help love pure,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
i’m ring bearer,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
yeah know it’s real mustardtastrophe help,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,Positive
okay that’s great make smaller make fit onthe head pin love make things fit head pin,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
got yeah right yeah okay,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
oh well um laundry smelled good thoughti’d curl right,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
oh yeah sure day,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
umm happened,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
uh well tell it’s it’s butyknow love okay,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,Positive
okay,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
oh god millionaire’s,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive
guys please i’m gonna dinner okay,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
okay okay buys dinner mean owe himanything,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
know,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
okay get lobster,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
hi,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
hi,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
hey,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
hey much cash got pocket right,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
one drink,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
hey like pizza,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Positive
oh that’s sounds great,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
you’re hey you’re paying pizza,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Positive
much,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Positive
that’s 60 cents,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hi frank,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hi mrs knight,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yeah,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
right umm even though love much wedo none less…,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Positive
none less,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hey,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
how’d go pete,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
tell us,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
you’re gonna believe okay go,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive
yeah could scooch,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
yeah move little bit,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
keep scooching,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
guys listen go umm,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,Positive
what’s matter,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
know,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
well yknow he’s got access,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
yeah,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yknow it’s feeling get yknow,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
that’s one,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
right went pete’s,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
happened,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Positive
tim,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Positive
monica gonna tell us,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
well,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
pete,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
yeah it’s two guys ring rules are“they’re,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
hands totally clean gave duck bath,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
thanks warm welcome it’s good guys myteam come play hope let’s go get‘em huh remember ‘i’ team,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
yes there’s two martini soo everybody,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
yes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
thank today boss keep slapping butt acting likeit big deal,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
gotta tell ya think it’s okay guy,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
yeah know really great stew yknow stick headin ‘em,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
okay please go eat,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
yeah getting,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Positive
oh ah,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Positive
umm friend bonnie always thought ross really cuteand two aren’t together asked could set ifyou’re cool,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Positive
promise you’ll careful,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Positive
promise,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
hey still tonight,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
okay good ‘cause umm well maybe could little workoutof,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,Positive
boomboom big fight,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Positive
‘bout boom,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
hi,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
show id want,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
oh yeah well started wearing bras,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
oh must,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,Positive
thanks,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
don’t know hardly ever say people,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
oh bonnie’s best,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive
you’re favourite you’re guy,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive
never get smacked,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
well that’s true hehe smacked,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
purpose ricocheted got,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Positive
sir,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
new york city new york appearing ultimate fightingchampionship debut he’s known confrontational business style ladies andgentlemen introducing pete beckerrrr,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
love pete,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
don’t worry hoshi taught use opponent’s strengthand weight,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
right go get let’s go,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
look back,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
well you’re gonna get going,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
well let ask question ultimate fighting champion,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Positive
well,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
look i’m gonna get better okay promise,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
hey long pete’s fight,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
hot dog,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
ii’m saying liked,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,Positive
yeah yknow fish sea,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
pheebs think she’s great okay we’re going,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
okay hear capable talking thing else,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
doug,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
oh,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,Positive
well say yknow takes guts bring bingyou’re okay,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
come phoebe look breaking look themokay that’s know second date that’swhat look put hand thigh,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
said okay,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Positive
yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
oh,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive
please tell you’re stopping,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Positive
insane youyou gotta give,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Positive
monmonica,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Positive
yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
thank sir,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yeyeyeah yes,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
really,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Positive
keeping thanksgiving secret year,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
thats like insanely easy,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Positive
oh okay times,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,Positive
right got 48,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
okay rachels got 48 phoebe lead in…vegetablesjoey,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
wow many got,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
fiftysix,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Positive
