Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism,Positive/Negative,Song Recommendations
wow thats great tell grant,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
yeah,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive,"Bleed, Bad Liar, Toxicity"
benjamin hobart administering grant,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Starboy, Hotter Than Hell, Lose Yourself"
yeah,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Lose Yourself, Hall of Fame (feat. will.i.am), Not Afraid"
ended great terms mean anything think could help know dont go dinner together introduce,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive,"Sparks, Everything's Not Lost - Includes Hidden Track 'Life Is For Living', People of The Pride"
ok anything know butter anything really likes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Positive,"Painkiller, Chop Suey!, Bad Liar"
well see dinner goes,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Positive,"Whatever It Takes, Whatever It Takes, It's My Life"
hey wanna go see movie,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive,"Sandstorm, Enemy (with JID) - from the series Arcane League of Legends, Thunder"
oh right,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Positive,"Heaven and Hell - 2008 Remaster, Bleed, Toxicity"
oh,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive,"Heaven and Hell - 2008 Remaster, Sugar, Toxicity"
yeah really,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Pumped Up Kicks, Young Dumb & Broke, Often"
dont like,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive,"Heaven and Hell - 2008 Remaster, Sugar, Toxicity"
really think,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,Positive,"Beautiful Alien (feat. AI AM) - Radio Edit, High Hopes, Charlie Brown"
hey guys,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
oh word casting yet,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive,"Sandstorm, Enemy (with JID) - from the series Arcane League of Legends, Thunder"
joe told youre right part,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,Positive,"All We Know, Middle Of A Breakup, Ain't No Rest for the Wicked"
joe,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive,"Bleed, Bad Liar, Toxicity"
watch dont like dont pass bosses,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Positive,"Royals, It's My Life, Whatever It Takes"
fine,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Positive,"Painkiller, Wait and Bleed, Royals"
work joe,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
charlie god look absolutely stunning,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive,"Cake By The Ocean, We Are Young (feat. Janelle Monáe), Savage Love (Laxed - Siren Beat)"
well good hair day,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Pumped Up Kicks, Young Dumb & Broke, Often"
good see,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Paradise, I Feel It Coming, Alors on danse - Radio Edit"
im ok,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Lose Yourself, Hall of Fame (feat. will.i.am), Not Afraid"
oh well likewise actually likewise ive never heard morning nice nice,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive,"Heaven and Hell - 2008 Remaster, Sugar, Toxicity"
tell,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Don't Panic, Kaer Morhen, Free Bird - Edit"
mm,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive,"Bleed, Bad Liar, Toxicity"
say break charlie,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive,"Toxicity, Bleed, Chop Suey!"
say yes im serious say im joking,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
joking,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Pumped Up Kicks, Young Dumb & Broke, Often"
hey go mike gonna let keep painting,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Positive,"Attention, I Dunno (feat. Dutchavelli & Stormzy), Holy Wars...The Punishment Due - 2004 Remix"
whos gladys,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive,"Heaven and Hell - 2008 Remaster, Sugar, Toxicity"
oh shes work art made know woman coming frame,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Rock You Like A Hurricane, Hotter Than Hell, Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack"
know would give,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Positive,"Die For You, PILLOWTALK, MONEY"
want,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Positive,"New Rules, TIRED OF PROBLEMS, Treat You Better"
landed food,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Positive,"Toxicity, Build God, Then We'll Talk, Bad Liar"
hey joe,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
whats,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Young Dumb & Broke, Pumped Up Kicks, A Million Dreams"
watched,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
keep going pinocchio,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
watch tape,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Positive,"Don't Panic, Cotton Eye Joe, Play with Fire (feat. Yacht Money)"
certainly well dr geller birthday,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive,"Bleed, Bad Liar, Toxicity"
half dozen,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive,"Calm Down, A Million Dreams, Pumped Up Kicks"
see dr biely,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Don't Panic, Kaer Morhen, Free Bird - Edit"
certainly dr geller 1965 shirelles hit later covered popular british invasion band,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
yeah made spell,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Positive,"New Rules, The Pot, One of the Drunks"
oh come,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive,"B.Y.O.B., Duality, Symphony Of Destruction - Remastered 2012"
say,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive,"Toxicity, Bleed, Chop Suey!"
still,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,Positive,"Laid to Rest, American Idiot, I Write Sins Not Tragedies"
really,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
anyway ive decided offer grant,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Pumped Up Kicks, Young Dumb & Broke, Often"
well one small stipulation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive,"New Rules, Royals, Astronaut In The Ocean"
hey got one right,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
youre crazy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive,"B.Y.O.B., Duality, Symphony Of Destruction - Remastered 2012"
crazy romantic,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Positive,"Beautiful Alien (feat. AI AM) - Radio Edit, Immigrant Song - Remaster, Cotton Eye Joe"
joey,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive,"Toxicity, Bleed, Chop Suey!"
joey keeping,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive,"All We Know, B.Y.O.B., I Write Sins Not Tragedies"
original buffay,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive,"Really Love (feat. Craig David & Digital Farm Animals), Toothbrush, Sugar"
alright fine keep long dont mind shes haunted,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,Positive,"Sign of the Times, Heaven and Hell - 2008 Remaster, Cirice"
hey wey whoo,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Positive,"Beautiful Alien (feat. AI AM) - Radio Edit, Immigrant Song - Remaster, Cotton Eye Joe"
hey sold joey,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Lose Yourself, Hall of Fame (feat. will.i.am), Not Afraid"
cant shes,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Positive,"Chop Suey!, Sugar, Toxicity"
shes,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive,"Symphony (feat. Zara Larsson), Let Me Love You, Señorita"
shes,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive,"Symphony (feat. Zara Larsson), Let Me Love You, Señorita"
shes mine,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive,"MONEY, Girls / Girls / Boys, Sarah Smiles"
want gladys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Positive,"Far Too Young to Die, Wrong, Rain"
know youre right whats gonna take forgive,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,Positive,"Bohemian Rhapsody, Falling, Someone You Loved"
excellent,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
say,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
im pretty little girl,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
knew,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive,"Immigrant Song - Remaster, Rock You Like A Hurricane, Hotter Than Hell"
get grant,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Positive,"Blinding Lights, Wavin' Flag - Coca-Cola® Celebration Mix, Everything's Not Lost - Includes Hidden Track 'Life Is For Living'"
yeah wouldnt give grant,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive,"I Write Sins Not Tragedies, I Bet My Life, Psychosocial"
benji isnt love mean broke,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Positive,"Wrong, Demons, Politik"
im sure joking ross,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive,"It's My Life, Whatever It Takes, Calm Down"
seriously,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive,"Toxicity, Bleed, Chop Suey!"
well like lake mbosco congo mbo,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Positive,"Don't Panic, Cotton Eye Joe, Play with Fire (feat. Yacht Money)"
dont want look eyes tell truth,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Positive,"Duality, Symphony Of Destruction - Remastered 2012, American Idiot"
benji,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Don't Panic, Kaer Morhen, Free Bird - Edit"
alright true behaved horribly still love would,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Positive,"Done for Me (feat. Kehlani), I Bet My Life, Middle Of A Breakup"
little late benji,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive,"B.Y.O.B., Duality, Symphony Of Destruction - Remastered 2012"
cant believe,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,Positive,"Middle Of A Breakup, I Bet My Life, Ain't No Rest for the Wicked"
never broken think time mean ever still think,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,Positive,"Plastic Heart, November Rain, Sleepwalking"
yes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Orinoco Flow, Snow (Hey Oh), Can't Feel My Face"
dont know say benji romantic,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Positive,"Beautiful Alien (feat. AI AM) - Radio Edit, Immigrant Song - Remaster, Cotton Eye Joe"
listen know may way bounds chance take back,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,Positive,"Plastic Heart, November Rain, Sleepwalking"
love,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive,"Symphony (feat. Zara Larsson), Let Me Love You, Señorita"
okay thats seeing people,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Positive,"Eye For an Eye, Rolling in the Deep, Hurricane"
gladys,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive,"Heaven and Hell - 2008 Remaster, Sugar, Toxicity"
whatwhat’s funny,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive,"Toxicity, Bleed, Chop Suey!"
okay give drag,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
okay,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Lose Yourself, Hall of Fame (feat. will.i.am), Not Afraid"
okay that’s like least fun game ever,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive,"All We Know, B.Y.O.B., I Write Sins Not Tragedies"
ross watched get hypnotised atlantic city,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive,"Beautiful Alien (feat. AI AM) - Radio Edit, Immigrant Song - Remaster, Rock You Like A Hurricane"
hey guy hypnotise okay,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive,"Bleed, Bad Liar, Toxicity"
go,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Pumped Up Kicks, Young Dumb & Broke, Often"
hi,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
frank hi,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive,"Cake By The Ocean, We Are Young (feat. Janelle Monáe), Savage Love (Laxed - Siren Beat)"
happened,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Positive,"Heaven and Hell - 2008 Remaster, Raining Blood, goosebumps"
also happened mom,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Positive,"Build God, Then We'll Talk, Ain't No Rest for the Wicked, Middle Of A Breakup"
getting married,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive,"Cake By The Ocean, We Are Young (feat. Janelle Monáe), Savage Love (Laxed - Siren Beat)"
oh yeah,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Orinoco Flow, Snow (Hey Oh), Can't Feel My Face"
wow,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive,"Cake By The Ocean, We Are Young (feat. Janelle Monáe), Savage Love (Laxed - Siren Beat)"
little brother’s getting married,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
oh knew you’d cool right ah hey youwant meet,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Paradise, I Feel It Coming, Alors on danse - Radio Edit"
yeah yeah,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Pumped Up Kicks, Young Dumb & Broke, Often"
yeah ah pheebs don’t think he’s little young toget married,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive,"Bleed, Bad Liar, Toxicity"
he’s 18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Don't Panic, Kaer Morhen, Free Bird - Edit"
yeah oror get hooker,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Positive,"Heaven and Hell - 2008 Remaster, Bleed, Toxicity"
yknow itit’s funny um frank told much yournot pictured,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive,"Immigrant Song - Remaster, Beautiful Alien (feat. AI AM) - Radio Edit, Kaer Morhen"
yeah i’m big surprise,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive,"Immigrant Song - Remaster, Rock You Like A Hurricane, Hotter Than Hell"
um howhow guys meet,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive,"Symphony (feat. Zara Larsson), Let Me Love You, Señorita"
best student,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Titanium (feat. Sia), Often, Hips Don't Lie (feat. Wyclef Jean)"
yeah best teacher,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Positive,"Everglow, Perfect, Summer Of '69"
guys gonna married,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,Positive,"Toothbrush, Bonfire, Into the Unknown - Panic! At The Disco Version"
oh god great,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive,"Cake By The Ocean, We Are Young (feat. Janelle Monáe), Savage Love (Laxed - Siren Beat)"
wow kids frank sure you’re ready,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive,"Immigrant Song - Remaster, Beautiful Alien (feat. AI AM) - Radio Edit, Kaer Morhen"
mean hard yknow mean yknow babies yknow whodoesn’t want babies right besides yknow never dad around ahnownow always ‘cause yknow it’ll right,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Positive,"WILD, Clarity, It's Time"
oh comes love age matter,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Positive,"Champion Of The World, Dog Days Are Over, Fix You"
well shouldn’t problem mean work fashion alli meet eligible straight men,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
yeah slice cheesecake andand date you’re given’‘em,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Paradise, I Feel It Coming, Alors on danse - Radio Edit"
hmm come said you…,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive,"Toxicity, Bleed, Chop Suey!"
pheebs age thing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Positive,"Bad Liar, Rain, Wrong"
nono oh i’m fine age thing yknow startssticking it’s tongue little brother’s throat,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive,"B.Y.O.B., Duality, Symphony Of Destruction - Remastered 2012"
pheebs seems enjoy,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive,"Young Dumb & Broke, Hold, Yellow"
well havehave told feel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Positive,"Bad Liar, Rain, Wrong"
yes loud,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive,"New Rules, Royals, Astronaut In The Ocean"
we’re walking street turn say“hey let’s go hang totally nude nudes” remember andthen turn say “nah let’s hang place”well nice move dumb ass,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive,"All We Know, B.Y.O.B., I Write Sins Not Tragedies"
think definitely go guy,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
monica last saturday night happened,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive,"Bleed, Bad Liar, Toxicity"
right,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Don't Panic, Kaer Morhen, Free Bird - Edit"
hey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Don't Panic, Kaer Morhen, Free Bird - Edit"
uh yeah,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive,"Bleed, Bad Liar, Toxicity"
hey tapes working ya,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive,"Don't Panic, Into the Unknown - Panic! At The Disco Version, Take on Me"
yknow pretty good,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Pumped Up Kicks, Young Dumb & Broke, Often"
yeah,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive,"Bleed, Bad Liar, Toxicity"
good haven’t smoked yet today feel great andandandconfident stunning blouse,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Party Monster, Blinding Lights, Savage Love (Laxed - Siren Beat)"
thank,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Young Dumb & Broke, Pumped Up Kicks, A Million Dreams"
thanks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Pumped Up Kicks, A Million Dreams, Young Dumb & Broke"
hey mon let’s give pete chance come funny seemsreally nice check thing adorable,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
check thing,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Positive,"Toxicity, Build God, Then We'll Talk, Bad Liar"
that’s bill clinton,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Don't Panic, Kaer Morhen, Free Bird - Edit"
who’s huggin’,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive,"Blinding Lights, Adventure of a Lifetime, Savage Love (Laxed - Siren Beat)"
oh god that’s pete bill huggin’ pete,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive,"Toxicity, Bleed, Chop Suey!"
use,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
go,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
oh god monica’s gonna go millionaire,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Positive,"Beautiful Alien (feat. AI AM) - Radio Edit, Old Town Road, High Hopes"
i’m gonna go,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive,"All We Know, B.Y.O.B., I Write Sins Not Tragedies"
oh god can’t believe real 20000 check oh isjust exciting,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive,"Cake By The Ocean, We Are Young (feat. Janelle Monáe), Savage Love (Laxed - Siren Beat)"
oh yeah sure,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Lose Yourself, Hall of Fame (feat. will.i.am), Not Afraid"
yeah come think you’re 18 okay she’s 44 whenyou’re 36 she’s gonna 88,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive,"Toxicity, Bleed, Chop Suey!"
yeah hehe’s right he’s right time yknow yeahyou’re young you’reyou’re weird chicks dig,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Positive,"Organ Variation, Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack, Confidence"
yeah poem maybe,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive,"Bleed, Bad Liar, Toxicity"
