Cleaned_Dialogue,Song Recommendations
yeah made spell,One of the Drunks
oh come,Symphony Of Destruction - Remastered 2012
say,Bleed
still,I Write Sins Not Tragedies
really,Buni
anyway ive decided offer grant,Pumped Up Kicks
well one small stipulation,New Rules
hey got one right,Can't Hold Us (feat. Ray Dalton)
youre crazy,Symphony Of Destruction - Remastered 2012
crazy romantic,Beautiful Alien (feat. AI AM) - Radio Edit
joey,Bleed
joey keeping,All We Know
original buffay,Really Love (feat. Craig David & Digital Farm Animals)
alright fine keep long dont mind shes haunted,Heaven and Hell - 2008 Remaster
hey wey whoo,Beautiful Alien (feat. AI AM) - Radio Edit
hey sold joey,Not Afraid
cant shes,Toxicity
shes,Let Me Love You
shes,Let Me Love You
shes mine,Girls / Girls / Boys
want gladys,Wrong
know youre right whats gonna take forgive,Someone You Loved
excellent,Temperature
say,Dance Off (feat. Idris Elba & Anderson .Paak)
im pretty little girl,ZT (3x3)
knew,Immigrant Song - Remaster
get grant,Everything's Not Lost - Includes Hidden Track 'Life Is For Living'
yeah wouldnt give grant,Psychosocial
benji isnt love mean broke,Demons
im sure joking ross,Whatever It Takes
seriously,Bleed
well like lake mbosco congo mbo,Cotton Eye Joe
dont want look eyes tell truth,American Idiot
benji,Free Bird - Edit
alright true behaved horribly still love would,Done for Me (feat. Kehlani)
little late benji,Symphony Of Destruction - Remastered 2012
cant believe,Ain't No Rest for the Wicked
never broken think time mean ever still think,Plastic Heart
yes,Can't Feel My Face
dont know say benji romantic,Beautiful Alien (feat. AI AM) - Radio Edit
listen know may way bounds chance take back,Sleepwalking
love,Let Me Love You
okay thats seeing people,Hurricane
gladys,Heaven and Hell - 2008 Remaster
whatwhat’s funny,Bleed
okay give drag,Smooth Criminal - 2012 Remaster
okay,Not Afraid
okay that’s like least fun game ever,I Write Sins Not Tragedies
ross watched get hypnotised atlantic city,Beautiful Alien (feat. AI AM) - Radio Edit
hey guy hypnotise okay,Bleed
go,Pumped Up Kicks
hi,Fivio Foreign & Darkoo]
frank hi,We Are Young (feat. Janelle Monáe)
happened,Raining Blood
also happened mom,Build God
getting married,We Are Young (feat. Janelle Monáe)
oh yeah,Can't Feel My Face
wow,We Are Young (feat. Janelle Monáe)
little brother’s getting married,Blinding Lights
oh knew you’d cool right ah hey youwant meet,Alors on danse - Radio Edit
yeah yeah,Often
yeah ah pheebs don’t think he’s little young toget married,Bleed
he’s 18,Kaer Morhen
yeah oror get hooker,Heaven and Hell - 2008 Remaster
yknow itit’s funny um frank told much yournot pictured,Beautiful Alien (feat. AI AM) - Radio Edit
yeah i’m big surprise,Hotter Than Hell
um howhow guys meet,Symphony (feat. Zara Larsson)
best student,Titanium (feat. Sia)
yeah best teacher,Summer Of '69
guys gonna married,Bonfire
oh god great,Savage Love (Laxed - Siren Beat)
wow kids frank sure you’re ready,Immigrant Song - Remaster
mean hard yknow mean yknow babies yknow whodoesn’t want babies right besides yknow never dad around ahnownow always ‘cause yknow it’ll right,WILD
oh comes love age matter,Champion Of The World
well shouldn’t problem mean work fashion alli meet eligible straight men,Moves Like Jagger
yeah slice cheesecake andand date you’re given’‘em,Alors on danse - Radio Edit
hmm come said you…,Bleed
pheebs age thing,Wrong
nono oh i’m fine age thing yknow startssticking it’s tongue little brother’s throat,Duality
pheebs seems enjoy,Young Dumb & Broke
well havehave told feel,Wrong
yes loud,Royals
we’re walking street turn say“hey let’s go hang totally nude nudes” remember andthen turn say “nah let’s hang place”well nice move dumb ass,I Write Sins Not Tragedies
think definitely go guy,There's a Good Reason These Tables Are Numbered Honey
monica last saturday night happened,Bleed
right,Don't Panic
hey,Free Bird - Edit
uh yeah,Bleed
hey tapes working ya,Don't Panic
yknow pretty good,Pumped Up Kicks
yeah,Bleed
good haven’t smoked yet today feel great andandandconfident stunning blouse,Party Monster
thank,A Million Dreams
thanks,Pumped Up Kicks
hey mon let’s give pete chance come funny seemsreally nice check thing adorable,Levitating
check thing,Build God
that’s bill clinton,Don't Panic
who’s huggin’,Blinding Lights
oh god that’s pete bill huggin’ pete,Toxicity
use,Moves Like Jagger
go,Levitating
oh god monica’s gonna go millionaire,Beautiful Alien (feat. AI AM) - Radio Edit
i’m gonna go,I Write Sins Not Tragedies
oh god can’t believe real 20000 check oh isjust exciting,We Are Young (feat. Janelle Monáe)
oh yeah sure,Not Afraid
yeah come think you’re 18 okay she’s 44 whenyou’re 36 she’s gonna 88,Toxicity
yeah hehe’s right he’s right time yknow yeahyou’re young you’reyou’re weird chicks dig,Confidence
yeah poem maybe,Bleed
man’s right that’s rachel,Wake Me up When September Ends
okay used rachel i’ve got withalice,The Ballad of Mona Lisa
it’s cool man it’s it’s ‘cause beingwith much better like,Señorita
yeah yeah,Pumped Up Kicks
well want,TIRED OF PROBLEMS
oh,Blackwater Park
it’s man i’ve seen got,Hotter Than Hell
hold,Astronaut In The Ocean
right man,Body (Remix) [feat. ArrDee
couldn’t help love pure,Señorita
i’m ring bearer,Levitating
yeah know it’s real mustardtastrophe help,Wait and Bleed
okay that’s great make smaller make fit onthe head pin love make things fit head pin,Someone In The Crowd
got yeah right yeah okay,Lose Yourself
oh well um laundry smelled good thoughti’d curl right,Young Dumb & Broke
oh yeah sure day,Don't Panic
umm happened,Chop Suey!
uh well tell it’s it’s butyknow love okay,Done for Me (feat. Kehlani)
okay,Bleed
oh god millionaire’s,Collar Full
guys please i’m gonna dinner okay,Royals
okay okay buys dinner mean owe himanything,Royals
know,E1 (3x3)
okay get lobster,Buni
hi,Strawberry Swing
hi,Snow (Hey Oh)
hey,Cake By The Ocean
hey much cash got pocket right,Lose Yourself
one drink,Bleed
hey like pizza,Adventure of a Lifetime
oh that’s sounds great,Can't Feel My Face
you’re hey you’re paying pizza,Then We'll Talk
much,LA Devotee
that’s 60 cents,Not Afraid
hi frank,Often
hi mrs knight,Lose Yourself
yeah,No Time for Caution
right umm even though love much wedo none less…,Die For You
none less,Lose Yourself
hey,We Are Young (feat. Janelle Monáe)
how’d go pete,Thunder
tell us,Collar Full
you’re gonna believe okay go,Trndsttr
yeah could scooch,Unsainted
yeah move little bit,In Waves
keep scooching,You Just Haven't Thought of It Yet
guys listen go umm,Viva Las Vengeance
what’s matter,Don't Panic
know,Lose Yourself
well yknow he’s got access,Hotter Than Hell
yeah,Calm Down
yknow it’s feeling get yknow,Blinding Lights
that’s one,Hall of Fame (feat. will.i.am)
right went pete’s,Bleed
happened,Don't Panic
tim,Cotton Eye Joe
monica gonna tell us,Bonfire
well,Lose Yourself
pete,We Are Young (feat. Janelle Monáe)
yeah it’s two guys ring rules are“they’re,Dance Off (feat. Idris Elba & Anderson .Paak)
hands totally clean gave duck bath,Immigrant Song - Remaster
thanks warm welcome it’s good guys myteam come play hope let’s go get‘em huh remember ‘i’ team,There's a Good Reason These Tables Are Numbered Honey
yes there’s two martini soo everybody,I Feel It Coming
yes,Waterloo
thank today boss keep slapping butt acting likeit big deal,B.Y.O.B.
gotta tell ya think it’s okay guy,Calm Down
yeah know really great stew yknow stick headin ‘em,Hall of Fame (feat. will.i.am)
okay please go eat,Alors on danse - Radio Edit
yeah getting,LA Devotee
oh ah,V
umm friend bonnie always thought ross really cuteand two aren’t together asked could set ifyou’re cool,Chop Suey!
promise you’ll careful,Sarah Smiles
promise,There's a Good Reason These Tables Are Numbered Honey
hey still tonight,Enemy (with JID) - from the series Arcane League of Legends
okay good ‘cause umm well maybe could little workoutof,Play with Fire (feat. Yacht Money)
boomboom big fight,Animals
‘bout boom,There's a Good Reason These Tables Are Numbered Honey
hi,I Feel It Coming
show id want,Not Afraid
oh yeah well started wearing bras,Rock You Like A Hurricane
oh must,High Hopes
thanks,Young Dumb & Broke
don’t know hardly ever say people,Bleed
oh bonnie’s best,Sweet Child O' Mine
you’re favourite you’re guy,Girls / Girls / Boys
never get smacked,Often
well that’s true hehe smacked,Duality
purpose ricocheted got,Friction
sir,Kaer Morhen
new york city new york appearing ultimate fightingchampionship debut he’s known confrontational business style ladies andgentlemen introducing pete beckerrrr,Smooth Criminal - 2012 Remaster
love pete,Let Me Love You
don’t worry hoshi taught use opponent’s strengthand weight,You Just Haven't Thought of It Yet
right go get let’s go,Dance Off (feat. Idris Elba & Anderson .Paak)
look back,Toxicity
well you’re gonna get going,B.Y.O.B.
well let ask question ultimate fighting champion,Symphony Of Destruction - Remastered 2012
well,Bad Liar
look i’m gonna get better okay promise,Whatever It Takes
hey long pete’s fight,Enemy (with JID) - from the series Arcane League of Legends
hot dog,Blinding Lights
ii’m saying liked,Everglow
yeah yknow fish sea,Don't Panic
pheebs think she’s great okay we’re going,E1 (3x3)
okay hear capable talking thing else,I Bet My Life
doug,Savage Love (Laxed - Siren Beat)
oh,Cotton Eye Joe
well say yknow takes guts bring bingyou’re okay,Houdini (feat. Swarmz & Tion Wayne)
come phoebe look breaking look themokay that’s know second date that’swhat look put hand thigh,C'mon - Single Version
said okay,Symphony Of Destruction - Remastered 2012
yes,Free Bird - Edit
oh,Collar Full
please tell you’re stopping,Location
insane youyou gotta give,Paranoid - 2012 - Remaster
monmonica,Immigrant Song - Remaster
yes,Free Bird - Edit
thank sir,Pumped Up Kicks
yeyeyeah yes,ZT (3x3)
really,High Hopes
keeping thanksgiving secret year,Chop Suey!
thats like insanely easy,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
oh okay times,American Idiot
right got 48,Hall of Fame (feat. will.i.am)
okay rachels got 48 phoebe lead in…vegetablesjoey,Paradise
wow many got,Rock You Like A Hurricane
fiftysix,Beautiful Alien (feat. AI AM) - Radio Edit
hey new england state huh sportsteam,Chop Suey!
cause invited assistant,Toxicity
well going figured know youre food sodelicious perfect never many pumpkin things,Yellow
46 wow whos well educated mr iforgottenstates,Astronaut In The Ocean
give another minute,Chop Suey!
youre,Body (Remix) [feat. ArrDee
drawer full takeout menus okay right,Young Dumb & Broke
ross im gonna use okay,There's a Good Reason These Tables Are Numbered Honey
dont worry chandler globe united states,Lose Yourself
hey guys im gonna go take walk,Paradise
phoebe bag moving,Heaven and Hell - 2008 Remaster
oh,Hall of Fame (feat. will.i.am)
seriously moving,goosebumps
ross’s apartment nice come dont hang moreoften,I Feel It Coming
thats pie,In Waves
smells delicious,Blinding Lights
phoebe dog apartment,Toxicity
theres dog,Bleed
yeah went back ohio,Roots
ohio thank,Waterloo
theres dog,Bad Liar
well still go right,Toxicity
okay um…,Toxicity
mind,Bleed
1250,Bleed
yeah,Hall of Fame (feat. will.i.am)
interesting,Immigrant Song - Remaster
fine take advice one ever listens package isthis pretty one cares whats inside,Duality
hey,Savage Love (Laxed - Siren Beat)
hey,Don't Panic
holding,Strawberry Swing
thanks,Pumped Up Kicks
guys together long time,Disintegration - 2010 Remaster
yeah hmmmm,Nearly Witches (Ever Since We Met...)
no…yeah time constantly terrifying knowthat figure it…it work,Calm Down
yeah know really,It's My Life
hey thanks talking,Young Dumb & Broke
joey say like back,We Are Young (feat. Janelle Monáe)
okay phoebe probably go back,Strawberry Swing
stop stop okay lets go strong,American Idiot
yeah okay,Bad Liar
thats gonna work,I Bet My Life
yeah knew,Don't Panic
wheres chandler,Attention
hey whats back,Toxicity
relax ross shes made ice cream,Not Afraid
yeah look im,It's My Life
um phoebes room cant go,Monster
well go,I Dunno (feat. Dutchavelli & Stormzy)
oh,Toxicity
bring dog back youre hero,Pumped Up Kicks
chandler like big gerbil,Bleed
said like probably yeah,Royals
went walk,Free Bird - Edit
okay cannot tell look whose back,Trndsttr
oh dogs going,Don't Let The Light Go Out
think,Royals
hi honey,Let Me Love You
please please please dont mad,Sign of the Times
would,Bleed
good news look whose back,Can't Feel My Face
thats right came back,Buni
thanksgiving miracle,Can't Feel My Face
oh hi,Alors on danse - Radio Edit
oh,Don't Panic
thanks guys,Paradise
colorado,Don't Panic
okay,Not Afraid
really,Toxicity
right,Hall of Fame (feat. will.i.am)
hey us think gonna get married next,Sandstorm
oh nono it’s good it’s good ii actually work,Safe To Say
i’m divisional head men’s sportswear,The Pot
oh please…,New Rules
listen wewe dinner whatwhat tomorrownight,Nearly Witches (Ever Since We Met...)
you’re dinner,Smooth Criminal - 2012 Remaster
wow,Trndsttr
hey guys look who’s back it’s rayray,Cake By The Ocean
seems,Kaer Morhen
she’s actually sweet used close,Daddy
wow,Cake By The Ocean
it’s big deal,Astronaut In The Ocean
that’s two wives,Lose Yourself
hey,Cake By The Ocean
hey parents gonna,Chop Suey!
would think they’re invited,Bleed
joey,Someone In The Crowd
ross’s parents,V
wellwell—see parents comin’,Bonfire
y’know think invite,Can't Hold Us (feat. Ray Dalton)
well thanks lot hookin’ rach want knowthat want attend wedding guest,Let Me Love You
mean tuxes red carpet peopleyelling wearing look fabulous,We Are Young (feat. Janelle Monáe)
umm well let’s see uh one tom brokaw,Bad Liar
who’s,Collar Full
plays yankees seriously,Fivio Foreign & Darkoo]
pierce brosnan,Beautiful Alien (feat. AI AM) - Radio Edit
serious,All We Know
yeah,Young Dumb & Broke
007 james bond’s tux,Savage Love (Laxed - Siren Beat)
oh get married james bond’s tux,Thunder
it’s pretty cool tux,I Feel It Coming
nice move,Can't Hold Us (feat. Ray Dalton)
i’m performing ceremony i’m wearing tux,Lose Yourself
well going wear,Someone In The Crowd
hey oh rach wait want go movie tonight,Blinding Lights
what’s going,goosebumps
oh good tell tell,Blinding Lights
joey’s,Blinding Lights
okay…,Bleed
itit,Beautiful Alien (feat. AI AM) - Radio Edit
sure,Often
taking away,Rolling in the Deep
yeah hard believe,Sugar
okay seems pretty wild you’re so—y’knowso…vanilla,Immigrant Song - Remaster
ross,Don't Panic
right y’know don’t want believe aboutthis don’t come dinner tonight tell,It's My Life
okay right yeah ‘cause can’t picture,Beautiful Alien (feat. AI AM) - Radio Edit
ohho get inside head,There's a Good Reason These Tables Are Numbered Honey
that’s right made expressly val kilmer worn thehit film…that batman film,"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack"
can’t wear i’m wearing famous tux jamesbond’s tux,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
well need something make day special hello youyouyou havethe special thing,Let Me Love You
please don’t take away cool thing please pretty please,Stressed Out
pretty please uh 007,There's a Good Reason These Tables Are Numbered Honey
look it’s wedding day okay getting married iwould never anything upset,I Dunno (feat. Dutchavelli & Stormzy)
hey,Free Bird - Edit
hey oh goodgood you’re right figured outi’m gonna take two tables eight i’m gonna add parents i’mgonna turn three tables six okay called caterer added twoextra meals good go,Buni
yeah they’re coming,Don't Let The Light Go Out
oh joey,Let Me Love You
well going say,Build God
oh oh that’s great,Cake By The Ocean
one,Toxicity
yeah,Hall of Fame (feat. will.i.am)
…we went back house got really silly we…we madeout,Symphony (feat. Zara Larsson)
oh wow rayray idea you’re talking,Bad Liar
really,Collar Full
ross batman,Savage Love (Laxed - Siren Beat)
well manage keep identity secret long time,Play with Fire (feat. Yacht Money)
rachel got ross tuxedo val kilmer wore batman okay batmanis much cooler james bond,Moves Like Jagger
talking 007 gadgets,Enter Sandman (Remastered)
batman utility belt,Rock You Like A Hurricane
007 fancy car,Old Town Road
batman batmobile,Body (Remix) [feat. ArrDee
007 gets ladies,E1 (3x3)
go put 007 tuxedo i’ll make nicemartini,Cake By The Ocean
show,Trndsttr
right right wedding gotcha mean it’s gonna start alittle late right mean weddings start late right,Bleed
ever one,Free Bird - Edit
ah yeah well look thing it’s day myniece’s christening really want parents time see me‘cause part’s beginning i’m even rest theshow—wedding,Demons
wedding starts six,Sandstorm
okay okay totally hear ya oo vamp little‘til get,You Just Haven't Thought of It Yet
you’ll vamp,Rock You Like A Hurricane
yeah yeah y’know like warm crowd ask ‘em wherethey’re ‘cause joey tribbiani get minister,The Ballad of Mona Lisa
remember us kissing,Sugar
rachel it’s okay don’t believe youall right okay ifif say kissed melissa kissed melissa,Royals
thank phoebe,Young Dumb & Broke
know,Not Afraid
carry around,Heaven and Hell - 2008 Remaster
yes find something conversation piece,Calm Down
and…,Whatever It Takes
okay jacket doubleoh seven gettin’ inthere,B.Y.O.B.
invitation,I Feel It Coming
ii wanna thank guys parentsthat really sweet they’re happy get part special day,I Want to Know What Love Is - 1999 Remaster
well you’re welcome tell we’re really gladthey’re coming,I Feel It Coming
happened telling happened,Immigrant Song - Remaster
god love,Sweet Child O' Mine
wow mean idea gonna…,Immigrant Song - Remaster
wanted see fuss,Bonfire
i’ve better,All We Know
well y’know say 23,Heaven and Hell - 2008 Remaster
whose,Free Bird - Edit
oh matter matters look handsome,Señorita
diane keeton,Kaer Morhen
whats going,Sugar
well eye little itchy,Unsainted
uhhh mine yeah,Alors on danse - Radio Edit
richard im gonna go see exboyfriend,Duality
oh richard thats ever hear richard richard richard,Eye For an Eye
okay richard richard,Savage Love (Laxed - Siren Beat)
richard okay new guy hes really good,Can't Hold Us (feat. Ray Dalton)
oh god go,Attention
right fine,Psychosocial
hey rach remember great song,Party Monster
much,Bleed
chandler,We Are Young (feat. Janelle Monáe)
okay man,Free Bird - Edit
yeah got excited,Someone In The Crowd
right gotta go im taking ben park,Paradise
ohh give kiss,Symphony (feat. Zara Larsson)
right bye,Often
im trying,Bad Liar
look dont wanna talk okay,I Write Sins Not Tragedies
well seems that…,Bleed
got lead movie thats amazing whats movie,Cake By The Ocean
called shutter speed really cool yeah umm meet girlin subway fall love like day right,Sugar Soaker
ohhoh chilling,Bugzy Malone
yeah know means buddy,Bugzy Malone
cab probably wont using drive lasvegas,Moves Like Jagger
right thanks pheebs,Alors on danse - Radio Edit
whoawhoawhoa going job,Paranoid - 2012 - Remaster
thank,Pumped Up Kicks
oh hey joey whats,ZT (3x3)
cant decide route take vegas hey youve traveled lotright,I Dunno (feat. Dutchavelli & Stormzy)
yeah ive around,Lose Yourself
great problem solved,Body (Remix) [feat. ArrDee
well back square one,Wait and Bleed
oh know way decide right im going ask aseries questions answer quickly,Dance Off (feat. Idris Elba & Anderson .Paak)
peanut butter,C'mon - Single Version
swimmer,Trndsttr
monica oh… huh always thought would rachel,Bleed
thinking thinking tie ascot,Nearly Witches (Ever Since We Met...)
ascot,Collar Full
north route south route,No Time for Caution
north route,The Ballad of Mona Lisa
wow incredible beard bees come,Immigrant Song - Remaster
hey man whats,Alors on danse - Radio Edit
uhh much guys want see movie tonight,Bonfire
sure want see,Lose Yourself
whats,Bleed
dont know hey know decide okay im gonna ask youquestions answer real quick okay,Smooth Criminal - 2012 Remaster
okay,Free Bird - Edit
like better action comedy,Don't Panic
action,Smooth Criminal - 2012 Remaster
right im outta,One of the Drunks
hey,Cake By The Ocean
done,Toxicity
almost first gotta start,Sandstorm
sit,Royals
small puff air come,I Write Sins Not Tragedies
go,Enemy (with JID) - from the series Arcane League of Legends
right,Not Afraid
ready,Thunder
yknow im gonna hold head,MONEY
thats okay,Pumped Up Kicks
okay okay,Body (Remix) [feat. ArrDee
okay youve got small minor infection left eye wantyou take drops three times day youll good new,Hall of Fame (feat. will.i.am)
great,Orinoco Flow
good monica know,Smooth Criminal - 2012 Remaster
theyre still coat,Bohemian Rhapsody
hey ready go,Bugzy Malone
love,Let Me Love You
thanks lot got jerk mind,Titanium (feat. Sia)
hey staying movie putting us bighotel suite,The Ballad of Mona Lisa
got,E1 (3x3)
right,Snow (Hey Oh)
bye guys,Orinoco Flow
okay,I Feel It Coming
well cant help,I Bet My Life
okay good,Lose Yourself
well cant remember cant forget,Toxicity
yeah,Young Dumb & Broke
yeah okay rosss treat wanna eat,Blinding Lights
ooh hey know decide right uh im gonna ask abunch questions answer real fast okay uh clear mindclear right clear clear,Take on Me
believe ghosts yes,Kaer Morhen
movie gonna big break,Sandstorm
yes,Free Bird - Edit
dude said,Toxicity
also said yes,Orinoco Flow
talking im lead movie,Believer
youre gonna like,Symphony Of Destruction - Remastered 2012
yeah dont want trip,Symphony Of Destruction - Remastered 2012
right fine fine dont pull ill get rightnow,Duality
get,Nightmare
okay mad hair gel smells,Build God
made feel precious,Hold
okay,Free Bird - Edit
chandler,Immigrant Song - Remaster
even close,New Rules
okay yknow help need help cant,Middle Of A Breakup
okay right lets,You Just Haven't Thought of It Yet
yes,Can't Feel My Face
open eyes,Levitating
oh god thinking four,Immigrant Song - Remaster
really,Immigrant Song - Remaster
well well said practice,Astronaut In The Ocean
move,Bad Liar
oh god really freakishly strong,Rock You Like A Hurricane
sweater vests,Toxicity
hey dude,Fivio Foreign & Darkoo]
really,Sugar
like better flora fauna,Free Bird - Edit
fauna,Don't Panic
oh god remember playing chess,Take Me Back To London (Sir Spyro Remix) [feat. Stormzy
phoebe,Alors on danse - Radio Edit
hey pal joey tribbiani,Temperature
hey joey aww remembered even though youre big star,I Feel It Coming
yep,Often
go,The Ballad of Mona Lisa
pheebs could get please,Blinding Lights
people entire,Then We'll Talk
sure,ZT (3x3)
thats thanks pheebs,Alors on danse - Radio Edit
hey tribbiani get back work break times,American Idiot
well im totally chandler friends forever dont come,Often
okay tell chandler okay ran richard,Cirice
richard,Play with Fire (feat. Yacht Money)
oh okay actually makes sense,Calm Down
really nice started talking ii ended havinglunch,Symphony (feat. Zara Larsson)
weird dream youd lunch richard,Rock You Like A Hurricane
really,Immigrant Song - Remaster
simmons go,Hall of Fame (feat. will.i.am)
strange part really nice umm looks great ididnt feel anything,Bleed
know,Hall of Fame (feat. will.i.am)
wow owe rachel 20 bucks,We Are Young (feat. Janelle Monáe)
totally different bet,Toxicity
almost anniversary,C'mon - Single Version
know believe one year ago today yourannoying friend chandler,Sweet Home Alabama
got present,Cake By The Ocean
oh til tomorrow,Enemy (with JID) - from the series Arcane League of Legends
okay,Lose Yourself
wow,Savage Love (Laxed - Siren Beat)
weekend oh gosh would perfect get see joey pluswe get start anniversary celebration plane call outplaneaversary,Someone In The Crowd
okay great joey said didnt want us,Toxicity
yeah think see people,Ain't No Rest for the Wicked
go right,I Dunno (feat. Dutchavelli & Stormzy)
yes,Kaer Morhen
okay,Paradise
okay im gonna go,Thunder
uhhuh great story im going,Can't Hold Us (feat. Ray Dalton)
hey,We Are Young (feat. Janelle Monáe)
hey guys listen weekend gonna go las vegas tosurprise joey including wanna go,Collar Full
course take couple days work trip includesme,C'mon - Single Version
oh ive got tickets van gogh exhibit ive waiting like ayear,Collar Full
whatd say,Toxicity
said art lover,Young Dumb & Broke
sounds great,Alors on danse - Radio Edit
okay yeah would nice actually apartment myselffor night,Trndsttr
oh yeah walk around naked,Smooth Criminal - 2012 Remaster
naked alone time,Young Dumb & Broke
aww love,Symphony (feat. Zara Larsson)
give present,Someone In The Crowd
love forgot present fake,Old Town Road
oh thats okay don’t worry give weget back,Kaer Morhen
oh,Toxicity
richard thing,Toxicity
really,High Hopes
great,Orinoco Flow
okay london 1…,The Ballad of Mona Lisa
hey,Heat Waves
may come,Don't Panic
uh yeah want,Toxicity
yeah sure,Toxicity
thank,Pumped Up Kicks
hi,Orinoco Flow
love condoms man,Hold
dressed gladiator,Chop Suey!
talking,Chop Suey!
happened,Heaven and Hell - 2008 Remaster
youre gladiator wow,Beautiful Alien (feat. AI AM) - Radio Edit
yeah whatwhats going,Sugar
monica lunch richard,A Million Dreams
dawson,Nearly Witches (Ever Since We Met...)
boyfriend richard,Unsainted
promise next time absolutely tell,Whatever It Takes
ooh close,C'mon - Single Version
theres gonna next time ever see,Monster
thats funny think,There's a Good Reason These Tables Are Numbered Honey
fine,Hall of Fame (feat. will.i.am)
fine happy anniversary,B.Y.O.B.
whoa whoa guys please come come obviously,New Rules
talking…,Toxicity
okay right thats true yknow dont embarrass thateasily,Not Afraid
yeah,Don't Panic
right well ill take someplace nice look guy tipped ahundred bucks today,Savage Love (Laxed - Siren Beat)
whoa,Collar Full
good luck,Moves Like Jagger
see,Free Bird - Edit
thanks,Young Dumb & Broke
yeah right right keep walkin right,Symphony Of Destruction - Remastered 2012
what…,Bleed
chandler,Toxicity
identical hand twin,Cake By The Ocean
whats identical hand twin,Sugar
hey unsupporting,Hurricane
pheebs,Symphony (feat. Zara Larsson)
yeah,Lose Yourself
found identical hand twin,C'mon - Single Version
came,Bleed
joey,Savage Love (Laxed - Siren Beat)
wonder weird,Bleed
yeah well shes probably talking richard,New Rules
ohh best,Paradise
guys yay,Blinding Lights
pancho vila,Free Bird - Edit
hey wet pants,Symphony Of Destruction - Remastered 2012
whoa kind party,Beautiful Alien (feat. AI AM) - Radio Edit
ross walking around like since plane ican—you,Chop Suey!
know,Sugar
dance karate,Beautiful Alien (feat. AI AM) - Radio Edit
wont come,Chop Suey!
actually took drew back,Astronaut In The Ocean
joey,Savage Love (Laxed - Siren Beat)
right heyhey,Buni
hi,Snow (Hey Oh)
thats gonna make money,All We Know
look like im going home,Bad Liar
guy,Cotton Eye Joe
ross,Sign of the Times
ross human doodle,Dance Off (feat. Idris Elba & Anderson .Paak)
okay,Toxicity
ohh made,Cake By The Ocean
one,There's a Good Reason These Tables Are Numbered Honey
know use,ZT (3x3)
joey,Savage Love (Laxed - Siren Beat)
know,Bad Liar
ohho yeah yeah hand guy,Fivio Foreign & Darkoo]
okay,Toxicity
look given gift okay something withit likelike hand modeling huh oror magic,Enemy (with JID) - from the series Arcane League of Legends
oh god im starting look like great aunt muriel,Northern Downpour
hit,Dance Off (feat. Idris Elba & Anderson .Paak)
bet 20,Can't Hold Us (feat. Ray Dalton)
yes iveive never seen roll like life,Hotter Than Hell
thats right baby okay want,ZT (3x3)
pick number,Blinding Lights
8 8,Rock You Like A Hurricane
thank,Party Monster
yay,Snow (Hey Oh)
8,High Hopes
yes,Snow (Hey Oh)
okay good okay want,C'mon - Single Version
two fours,Kaer Morhen
8,Bad Liar
go come roll,Rock You Like A Hurricane
say,Toxicity
serious,Friction
yes love ive never loved anybody much love,Symphony (feat. Zara Larsson)
